type,id,session,trial,delay,response,reward,totalvolume,flag,accuracy,normResponse,normAccuracy,lagResponse,lagNormAccuracy,lagReward,lagReward2,lagReward3,lagDelay,rewardRate,lagRewardRate,windowReward
5,1,1,1,6,2.59513269406489,0,NaN,0,-0.404867305935113,-1.0039590117193,-1.78027007266228,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN
5,1,1,2,6,2.89190203138605,0,NaN,0,-0.108097968613947,-0.749343859703644,-0.981405160212828,2.59513269406489,-1.78027007266228,0,NaN,NaN,6,0,0,NaN
5,1,1,3,4,1.54121051310904,0,NaN,0,-0.458789486890964,-1.90817829103905,-2.18311499314946,2.89190203138605,-0.981405160212828,0,0,NaN,6,0,0,0
5,1,1,5,6,2.85538260594876,0,NaN,0,-0.144617394051238,-0.780675934449551,-1.07971075966596,2.56544227758422,-3.22623112388189,0,0,0,8,0,0,0
5,1,1,6,8,3.52775877423119,0,NaN,0,-0.472241225768812,-0.203806498259578,-1.33375377551184,2.85538260594876,-1.07971075966596,0,0,0,6,0,0,0
5,1,1,7,10,5.4412982467602,0,NaN,0,0.441298246760198,1.43792693715481,0.349132292929989,3.52775877423119,-1.33375377551184,0,0,0,8,0,0,0
5,1,1,8,6,2.59548280763192,0,NaN,0,-0.404517192368075,-1.00365862954404,-1.77932761193974,5.4412982467602,0.349132292929989,0,0,0,10,0,0,0
5,1,1,9,10,5.32496934878327,0,NaN,0,0.32496934878327,1.33812181473357,0.171092770706982,2.59548280763192,-1.77932761193974,0,0,0,6,0,0,0
5,1,1,10,10,4.24704774460042,0,NaN,0,-0.752952255399578,0.413312076681162,-1.47864904530021,5.32496934878327,0.171092770706982,0,0,0,10,0,0,0
5,1,1,11,8,3.71268347079422,0,NaN,0,-0.287316529205782,-0.0451491714890257,-0.970083610218886,4.24704774460042,-1.47864904530021,0,0,0,10,0,0,0
5,1,1,12,8,4.40256322979803,0,NaN,0,0.402563229798034,0.546737582367844,0.386623690926629,3.71268347079422,-0.970083610218886,0,0,0,8,0,0,0
5,1,1,13,4,1.79586300633309,0,NaN,0,-0.204136993666907,-1.68969755492701,-1.52472809761447,4.40256322979803,0.386623690926629,0,0,0,8,0,0,0
5,1,1,14,4,2.03627197651258,0,NaN,0,0.0362719765125803,-1.483437140557,-0.903166873016634,1.79586300633309,-1.52472809761447,0,0,0,4,0,0,0
5,1,1,15,10,5.59718561442787,0,NaN,0,0.597185614427872,1.5716715017864,0.587715421824235,2.03627197651258,-0.903166873016634,0,0,0,4,0,0,0
5,1,1,16,4,2.01515021733576,0,NaN,0,0.0151502173357585,-1.50155868900331,-0.957775760903822,5.59718561442787,0.587715421824235,0,0,0,10,0,0,0
5,1,1,17,6,3.63131197566872,0,NaN,0,0.631311975668723,-0.114962366437456,1.00899137379426,2.01515021733576,-0.957775760903822,0,0,0,4,0,0,0
5,1,1,18,10,6.16878937516231,0,NaN,0,1.16878937516231,2.0620826060664,1.46254585718361,3.63131197566872,1.00899137379426,0,0,0,6,0,0,0
5,1,1,19,6,3.29854046611581,0,NaN,0,0.29854046611581,-0.400465812501358,0.113213241038696,6.16878937516231,1.46254585718361,0,0,0,10,0,0,0
5,1,1,20,4,2.11552402368034,0,NaN,0,0.115524023680337,-1.4154423395465,-0.698266034862805,3.29854046611581,0.113213241038696,0,0,0,6,0,0,0
5,1,1,21,4,2.30851463262843,0,NaN,0,0.30851463262843,-1.24986481163049,-0.199301794285171,2.11552402368034,-0.698266034862805,0,0,0,4,0,0,0
5,1,1,22,8,4.22915346981426,0,NaN,0,0.229153469814264,0.397959569120865,0.045598629110646,2.30851463262843,-0.199301794285171,0,0,0,4,0,0,0
5,1,1,23,6,3.18271562611517,0,NaN,0,0.182715626115169,-0.499838475156318,-0.198572341332468,4.22915346981426,0.045598629110646,0,0,0,8,0,0,0
5,1,1,24,6,3.07112062701708,0,NaN,0,0.0711206270170806,-0.595582118741696,-0.498971735653359,3.18271562611517,-0.198572341332468,0,0,0,6,0,0,0
5,1,1,25,8,4.68890243193528,0,NaN,0,0.688902431935276,0.792404133158822,0.949734118611505,3.07112062701708,-0.498971735653359,0,0,0,6,0,0,0
5,1,1,26,4,2.6979335439537,0,NaN,0,0.697933543953695,-0.915760364722789,0.807514612041831,4.68890243193528,0.949734118611505,0,0,0,8,0,0,0
5,1,1,27,10,5.41862032954305,0,NaN,0,0.418620329543046,1.41847027295976,0.314424102475409,2.6979335439537,0.807514612041831,0,0,0,4,0,0,0
5,1,1,28,8,4.17278371939392,0,NaN,0,0.172783719393919,0.349596781031245,-0.0652572859396302,5.41862032954305,0.314424102475409,0,0,0,10,0,0,0
5,1,1,29,8,4.26203804786928,0,NaN,0,0.262038047869282,0.426173103295347,0.110268952540277,4.17278371939392,-0.0652572859396302,0,0,0,8,0,0,0
5,1,1,30,10,5.69568478269321,0,NaN,0,0.695684782693206,1.65617949350709,0.73846682721279,4.26203804786928,0.110268952540277,0,0,0,8,0,0,0
5,1,1,31,10,5.85750967782042,0,NaN,0,0.857509677820417,1.79501819781751,0.986137247145344,5.69568478269321,0.73846682721279,0,0,0,10,0,0,0
5,1,1,32,4,2.35568638958102,0,NaN,0,0.355686389581024,-1.20939350089554,-0.077342389043365,5.85750967782042,0.986137247145344,0,0,0,10,0,0,0
5,1,2,33,4,2.22980091600948,2.8,2.8,0,0.229800916009481,-1.3173977485018,-0.402810815008457,2.35568638958102,-0.077342389043365,0,0,0,4,0.7,0,0.933333333333333
5,1,2,34,4,2.41181715963648,0.7,3.5,0,0.411817159636485,-1.16123574753923,0.0677799420711686,2.22980091600948,-0.402810815008457,2.8,0,0,4,0.175,0.7,1.16666666666667
5,1,2,35,4,2.1387596594941,0.7,4.2,0,0.138759659494099,-1.39550717711259,-0.638191861091632,2.41181715963648,0.0677799420711686,0.7,2.8,0,4,0.175,0.175,1.4
5,1,2,36,10,5.00391550108361,0,4.25,0,0.00391550108361116,1.06267161163932,-0.320275020498625,2.1387596594941,-0.638191861091632,0.7,0.7,2.8,4,0,0.175,0.466666666666667
5,1,2,37,8,4.44416747728974,0,4.3,0,0.444167477289739,0.582432212733694,0.46844198693254,5.00391550108361,-0.320275020498625,0,0.7,0.7,10,0,0,0.233333333333333
5,1,2,38,10,5.73369149276004,1.4,5.7,0,0.733691492760045,1.68878759361823,0.796635490539338,4.44416747728974,0.46844198693254,0,0,0.7,8,0.14,0,0.466666666666667
5,1,2,39,4,2.03767389691893,0,5.75,0,0.0376738969189319,-1.48223435397332,-0.899542302086897,5.73369149276004,0.796635490539338,1.4,0,0,10,0,0.14,0.466666666666667
5,1,2,40,6,3.28043660378171,0,5.8,0,0.280436603781709,-0.415998137039588,0.0644799705159496,2.03767389691893,-0.899542302086897,0,1.4,0,4,0,0,0.466666666666667
5,1,2,41,4,2.18001705395727,2.8,8.6,0,0.180017053957272,-1.36011013152212,-0.531523642318014,3.28043660378171,0.0644799705159496,0,0,1.4,6,0.7,0,0.933333333333333
5,1,2,42,4,2.79413065363769,0,8.65,0,0.794130653637694,-0.833227438893086,1.05622576975495,2.18001705395727,-0.531523642318014,2.8,0,0,4,0,0.7,0.933333333333333
5,1,2,43,4,2.70933803889602,0.7,9.35,0,0.709338038896021,-0.905975805308352,0.837000166748794,2.79413065363769,1.05622576975495,0,2.8,0,4,0.175,0,1.16666666666667
5,1,2,44,10,6.10274663784912,1.4,10.75,0,1.10274663784912,2.00542081697352,1.3614685014962,2.70933803889602,0.837000166748794,0.7,0,2.8,4,0.14,0.175,0.7
5,1,2,45,6,3.28854727485668,2.8,13.55,0,0.288547274856683,-0.409039534889702,0.0863128545891553,6.10274663784912,1.3614685014962,1.4,0.7,0,10,0.466666666666667,0.14,1.63333333333333
5,1,2,46,10,6.43406579187649,2.8,16.35,0,1.43406579187649,2.28967820532049,1.86854718024431,3.28854727485668,0.0863128545891553,2.8,1.4,0.7,6,0.28,0.466666666666667,2.33333333333333
5,1,2,47,10,5.06831150811195,2.8,19.15,0,0.0683115081119468,1.1179205779467,-0.22171795923713,6.43406579187649,1.86854718024431,2.8,2.8,1.4,10,0.28,0.28,2.8
5,1,2,48,4,2.42261445061558,0,19.2,0,0.422614450615583,-1.15197214265062,0.0956956117664269,5.06831150811195,-0.22171795923713,2.8,2.8,2.8,10,0,0.28,1.86666666666667
5,1,2,49,6,3.44838789987807,2.8,22,0,0.448387899878071,-0.271903247814145,0.516583272908648,2.42261445061558,0.0956956117664269,0,2.8,2.8,4,0.466666666666667,0,1.86666666666667
5,1,2,50,4,2.44959687662413,1.4,23.4,0,0.449596876624128,-1.12882239759295,0.165456859609924,3.44838789987807,0.516583272908648,2.8,0,2.8,6,0.35,0.466666666666667,1.4
5,1,2,51,4,2.1942048637884,1.4,24.8,0,0.1942048637884,-1.34793760928809,-0.494842014147429,2.44959687662413,0.165456859609924,1.4,2.8,0,4,0.35,0.35,1.86666666666667
5,1,2,52,6,4.08099854485408,2.8,27.6,0,1.08099854485408,0.270849103190954,2.2194898200444,2.1942048637884,-0.494842014147429,1.4,1.4,2.8,4,0.466666666666667,0.35,1.86666666666667
5,1,2,53,8,4.19417788686405,1.4,29,0,0.194177886864054,0.367952043915974,-0.0231838335302215,4.08099854485408,2.2194898200444,2.8,1.4,1.4,6,0.175,0.466666666666667,1.86666666666667
5,1,2,54,10,4.82833266755733,0,29.05,0,-0.171667332442667,0.912029196040804,-0.589001745630848,4.19417788686405,-0.0231838335302215,1.4,2.8,1.4,8,0,0.175,1.4
5,1,2,55,6,3.84878267769818,0.7,29.75,0,0.848782677698182,0.0716180139886339,1.5943945522536,4.82833266755733,-0.589001745630848,0,1.4,2.8,10,0.116666666666667,0,0.7
5,1,2,56,8,4.15983626164598,2.8,32.55,0,0.159836261645978,0.338488426804135,-0.0907195642985,3.84878267769818,1.5943945522536,0.7,0,1.4,6,0.35,0.116666666666667,1.16666666666667
5,1,2,57,8,4.59322554277605,0.7,33.25,0,0.593225542776054,0.710317533857302,0.761577367555864,4.15983626164598,-0.0907195642985,2.8,0.7,0,8,0.0875,0.35,1.4
5,1,2,58,8,5.04989180478697,2.8,36.05,0,1.04989180478697,1.10211727560925,1.65965046474556,4.59322554277605,0.761577367555864,0.7,2.8,0.7,8,0.35,0.0875,2.1
5,1,2,59,10,5.63527494456139,0,36.1,0,0.635274944561388,1.60435048631243,0.646010533844557,5.04989180478697,1.65965046474556,2.8,0.7,2.8,8,0,0.35,1.16666666666667
5,1,2,60,6,3.53585031545117,1.4,37.5,0,0.535850315451171,-0.196864308691196,0.752020854129539,5.63527494456139,0.646010533844557,0,2.8,0.7,10,0.233333333333333,0,1.4
5,1,2,61,8,4.15102800248314,2.8,40.3,0,0.151028002483145,0.330931324490323,-0.108041756116179,3.53585031545117,0.752020854129539,1.4,0,2.8,6,0.35,0.233333333333333,1.4
5,1,2,62,10,5.28594403665375,0.7,41,0,0.285944036653746,1.3046397984646,0.111365153176192,4.15102800248314,-0.108041756116179,2.8,1.4,0,8,0.07,0.35,1.63333333333333
5,1,2,63,8,4.01631872869621,1.4,42.4,0,0.0163187286962057,0.215356641024756,-0.372959015817575,5.28594403665375,0.111365153176192,0.7,2.8,1.4,10,0.175,0.07,1.63333333333333
5,1,2,64,8,4.2658549894968,1.4,43.8,0,0.265854989496802,0.429447872789724,0.117775293328677,4.01631872869621,-0.372959015817575,1.4,0.7,2.8,8,0.175,0.175,1.16666666666667
5,1,2,65,8,4.71762259384377,1.4,45.2,0,0.717622593843771,0.817044779851819,1.00621476301772,4.2658549894968,0.117775293328677,1.4,1.4,0.7,8,0.175,0.175,1.4
5,1,2,66,8,3.95736945645876,0,45.25,0,-0.042630543541236,0.164780735685502,-0.488887780211587,4.71762259384377,1.00621476301772,1.4,1.4,1.4,8,0,0.175,0.933333333333333
5,1,2,67,6,3.52158538679942,1.4,46.65,0,0.521585386799416,-0.20910299551088,0.713621499663381,3.95736945645876,-0.488887780211587,0,1.4,1.4,8,0.233333333333333,0,0.933333333333333
5,1,2,68,10,5.17862891524055,0.7,47.35,0,0.178628915240552,1.21256810332641,-0.0528789278388158,3.52158538679942,0.713621499663381,1.4,0,1.4,6,0.07,0.233333333333333,0.7
5,1,2,69,6,3.35944820444638,1.4,48.75,0,0.35944820444638,-0.348209628645056,0.277169044182496,5.17862891524055,-0.0528789278388158,0.7,1.4,0,10,0.233333333333333,0.07,1.16666666666667
5,1,2,70,6,3.40887726129222,0,48.8,0,0.408877261292218,-0.305801653021977,0.410225712118766,3.35944820444638,0.277169044182496,1.4,0.7,1.4,6,0,0.233333333333333,0.7
5,1,2,71,10,5.4595953459775,2.8,51.6,0,0.459595345977505,1.45362505051353,0.377135711335641,3.40887726129222,0.410225712118766,0,1.4,0.7,6,0.28,0,1.4
5,1,2,72,6,3.55068645115716,0.7,52.3,0,0.550686451157162,-0.18413555112411,0.791957824568733,5.4595953459775,0.377135711335641,2.8,0,1.4,10,0.116666666666667,0.28,1.16666666666667
5,1,2,73,6,3.19385299085661,0,52.35,0,0.193852990856612,-0.490283101807124,-0.168591986928594,3.55068645115716,0.791957824568733,0.7,2.8,0,6,0,0.116666666666667,1.16666666666667
5,1,2,74,4,2.47530441978415,0.7,53.05,0,0.475304419784152,-1.1067664464333,0.231921983586025,3.19385299085661,-0.168591986928594,0,0.7,2.8,6,0.175,0,0.466666666666667
5,1,2,75,6,3.87626307397659,0,53.1,0,0.876263073976588,0.095194995825894,1.66836824699305,2.47530441978415,0.231921983586025,0.7,0,0.7,4,0,0.175,0.233333333333333
5,1,2,76,4,2.28622520673525,1.4,54.5,0,0.286225206735253,-1.26898816720813,-0.256929605940463,3.87626307397659,1.66836824699305,0,0.7,0,6,0.35,0,0.7
5,1,2,77,10,5.03055198878246,1.4,55.9,0,0.030551988782463,1.08552455671049,-0.279508301084304,2.28622520673525,-0.256929605940463,1.4,0,0.7,4,0.14,0.35,0.933333333333333
5,1,2,78,6,3.64080668027418,0.7,56.6,0,0.640806680274181,-0.106816323863501,1.03454989824237,5.03055198878246,-0.279508301084304,1.4,1.4,0,10,0.116666666666667,0.14,1.16666666666667
5,1,2,80,4,2.27028682907076,2.8,62.2,0,0.270286829070756,-1.28266260031689,-0.298137209516367,5.85858061451654,3.25000588276663,2.8,0.7,1.4,8,0.7,0.35,2.1
5,1,2,81,6,3.09326952689116,1.4,63.6,0,0.093269526891163,-0.576579328361381,-0.439349743979698,2.27028682907076,-0.298137209516367,2.8,2.8,0.7,4,0.233333333333333,0.7,2.33333333333333
5,1,2,82,10,5.27849103969857,2.8,66.4,0,0.278491039698565,1.29824545203433,0.0999584602554608,3.09326952689116,-0.439349743979698,1.4,2.8,2.8,6,0.28,0.233333333333333,2.33333333333333
5,1,2,83,6,3.6875034788427,0,66.45,0,0.6875034788427,-0.0667525067134813,1.16025167807193,5.27849103969857,0.0999584602554608,2.8,1.4,2.8,10,0,0.28,1.4
5,1,2,84,8,3.76253096320033,0,66.5,0,-0.237469036799666,-0.00238219639938905,-0.87205427103545,3.6875034788427,1.16025167807193,0,2.8,1.4,6,0,0,0.933333333333333
5,1,2,85,4,2.34055706146501,0,66.55,0,0.340557061465006,-1.22237380476698,-0.116458249421261,3.76253096320033,-0.87205427103545,0,0,2.8,8,0,0,0
5,1,2,86,4,2.2322042081305,0.7,67.25,0,0.232204208130497,-1.31533582864763,-0.396597264853943,2.34055706146501,-0.116458249421261,0,0,0,4,0.175,0,0.233333333333333
5,1,2,87,6,3.15507219537903,0.7,67.95,0,0.155072195379034,-0.523555333449862,-0.272984903877383,2.2322042081305,-0.396597264853943,0.7,0,0,4,0.116666666666667,0.175,0.466666666666667
5,1,2,88,8,4.71644293983991,1.4,69.35,0,0.716442939839908,0.816032688150463,1.0038948729514,3.15507219537903,-0.272984903877383,0.7,0.7,0,6,0.175,0.116666666666667,0.933333333333333
5,1,2,89,6,3.04603469100221,0.7,70.05,0,0.0460346910022054,-0.617104758073434,-0.566499851122202,4.71644293983991,1.0038948729514,1.4,0.7,0.7,8,0.116666666666667,0.175,0.933333333333333
5,1,2,90,6,3.51170802038177,0.7,70.75,0,0.511708020381775,-0.217577345235293,0.687032898800212,3.04603469100221,-0.566499851122202,0.7,1.4,0.7,6,0.116666666666667,0.116666666666667,0.933333333333333
5,1,2,91,8,4.86547784035793,0.7,71.45,0,0.865477840357926,0.943898134741285,1.29698469769167,3.51170802038177,0.687032898800212,0.7,0.7,1.4,6,0.0875,0.116666666666667,0.7
5,1,2,92,8,4.00073486300971,2.8,74.25,0,0.000734863009711262,0.201986363736088,-0.403606014922851,4.86547784035793,1.29698469769167,0.7,0.7,0.7,8,0.35,0.0875,1.4
5,1,2,93,10,5.16396666340734,1.4,75.65,0,0.163966663407336,1.19998853054067,-0.075319270320327,4.00073486300971,-0.403606014922851,2.8,0.7,0.7,8,0.14,0.35,1.63333333333333
5,1,2,94,10,5.0301740186078,0.7,76.35,0,0.030174018607795,1.08520027478046,-0.280086778405784,5.16396666340734,-0.075319270320327,1.4,2.8,0.7,10,0.07,0.14,1.63333333333333
5,1,2,95,8,4.19326712242582,0,76.4,0,0.193267122425823,0.367170647738107,-0.024974929365177,5.0301740186078,-0.280086778405784,0.7,1.4,2.8,10,0,0.07,0.7
5,1,2,96,10,5.15607972487305,2.8,79.2,0,0.156079724873052,1.19322188115576,-0.0873901039039535,4.19326712242582,-0.024974929365177,0,0.7,1.4,8,0.28,0,1.16666666666667
5,1,2,97,10,5.36895437995918,2.8,82,0,0.368954379959177,1.37585905369619,0.238411159101548,5.15607972487305,-0.0873901039039535,2.8,0,0.7,10,0.28,0.28,1.86666666666667
5,1,2,98,8,4.43333506909039,0.7,82.7,0,0.43333506909039,0.573138478801243,0.447139133643633,5.36895437995918,0.238411159101548,2.8,2.8,0,10,0.0875,0.28,2.1
5,1,2,99,8,3.75541081442861,0.7,83.4,0,-0.244589185571385,-0.00849097360073234,-0.88605664999752,4.43333506909039,0.447139133643633,0.7,2.8,2.8,8,0.0875,0.0875,1.4
5,1,2,100,10,4.65302312200583,0,83.45,0,-0.346976877994166,0.761621249609046,-0.857310207878225,3.75541081442861,-0.88605664999752,0.7,0.7,2.8,8,0,0.0875,0.466666666666667
5,1,2,101,8,4.40115511658041,0,83.5,0,0.401155116580412,0.545529482622108,0.383854516359245,4.65302312200583,-0.857310207878225,0,0.7,0.7,10,0,0,0.233333333333333
5,1,2,102,10,5.27578806912788,1.4,84.9,0,0.275788069127884,1.29592642113659,0.095821606925325,4.40115511658041,0.383854516359245,0,0,0.7,8,0.14,0,0.466666666666667
5,1,2,103,10,5.29610052056159,0,84.95,0,0.296100520561595,1.31335361882585,0.126909489741451,5.27578806912788,0.095821606925325,1.4,0,0,10,0,0.14,0.466666666666667
5,1,2,104,10,5.69819070442099,0,85,0,0.698190704420995,1.65832946508913,0.742302100432968,5.29610052056159,0.126909489741451,0,1.4,0,10,0,0,0.466666666666667
5,1,2,105,8,4.14816229068128,2.8,87.8,0,0.148162290681285,0.328472668711899,-0.113677422438925,5.69819070442099,0.742302100432968,0,0,1.4,10,0.35,0,0.933333333333333
5,1,2,106,4,2.49611330527841,0,87.85,0,0.496113305278413,-1.08891332996506,0.285721957608096,4.14816229068128,-0.113677422438925,2.8,0,0,8,0,0.35,0.933333333333333
5,1,2,107,4,2.7564382833898,0.7,88.55,0,0.756438283389798,-0.86556584914506,0.958774681337631,2.49611330527841,0.285721957608096,0,2.8,0,4,0.175,0,1.16666666666667
5,1,2,108,8,4.50917218945324,1.4,89.95,0,0.509172189453238,0.638203421506963,0.596279289665458,2.7564382833898,0.958774681337631,0.7,0,2.8,4,0.175,0.175,0.7
5,1,2,109,6,3.69414006052284,2.8,92.75,0,0.694140060522841,-0.0610586089927586,1.17811650295824,4.50917218945324,0.596279289665458,1.4,0.7,0,8,0.466666666666667,0.175,1.63333333333333
5,1,2,110,10,5.38205548888618,2.8,95.55,0,0.382055488886181,1.3870992339356,0.25846219727452,3.69414006052284,1.17811650295824,2.8,1.4,0.7,6,0.28,0.466666666666667,2.33333333333333
5,1,2,111,8,4.57342125449941,2.8,98.35,0,0.573421254499408,0.693326318000446,0.722630547985865,5.38205548888618,0.25846219727452,2.8,2.8,1.4,10,0.35,0.28,2.8
5,1,2,112,8,3.97147369646882,0,98.4,0,-0.02852630353118,0.176881558656776,-0.461150591014469,4.57342125449941,0.722630547985865,2.8,2.8,2.8,8,0,0.35,1.86666666666667
5,1,2,113,4,2.23830718594036,2.8,101.2,0,0.238307185940357,-1.31009973978201,-0.380818426159373,3.97147369646882,-0.461150591014469,0,2.8,2.8,8,0.7,0,1.86666666666667
5,1,2,114,10,5.55103597826928,1.4,102.6,0,0.551035978269283,1.53207712612733,0.517084140041867,2.23830718594036,-0.380818426159373,2.8,0,2.8,4,0.14,0.7,1.4
5,1,2,115,8,4.21086985906004,1.4,104,0,0.21086985906004,0.38227302827536,0.00964235140019701,5.55103597826928,0.517084140041867,1.4,2.8,0,10,0.175,0.14,1.86666666666667
5,1,2,116,10,5.93478507879445,2.8,106.8,0,0.934785078794448,1.86131712257732,1.10440601533858,4.21086985906004,0.00964235140019701,1.4,1.4,2.8,8,0.28,0.175,1.86666666666667
5,1,2,117,4,2.58559404037806,1.4,108.2,0,0.585594040378055,-1.01214276068885,0.517068380517873,5.93478507879445,1.10440601533858,2.8,1.4,1.4,10,0.35,0.28,1.86666666666667
5,1,2,118,8,4.76406982082153,0,108.25,0,0.764069820821533,0.856894475458511,1.09755719064552,2.58559404037806,0.517068380517873,1.4,2.8,1.4,4,0,0.35,1.4
5,1,2,119,10,5.30229234628496,0.7,108.95,0,0.302292346284958,1.31866593532741,0.13638598021499,4.76406982082153,1.09755719064552,0,1.4,2.8,8,0.07,0,0.7
5,1,2,120,4,2.83246310435607,2.8,111.75,0,0.832463104356066,-0.800339867505519,1.15533174318247,5.30229234628496,0.13638598021499,0.7,0,1.4,10,0.7,0.07,1.16666666666667
5,1,2,121,10,5.65960725101104,0.7,112.45,0,0.659607251011039,1.62522654433612,0.68325074062223,2.83246310435607,1.15533174318247,2.8,0.7,0,4,0.07,0.7,1.4
5,1,2,122,8,4.51978878225782,2.8,115.25,0,0.51978878225782,0.647311995240446,0.617157723600181,5.65960725101104,0.68325074062223,0.7,2.8,0.7,10,0.35,0.07,2.1
5,1,2,124,4,2.68752924781984,1.4,116.7,0,0.687529247819839,-0.924686797169113,0.780615004089557,4.27607458737657,2.74460945348571,0,2.8,0.7,6,0.35,0,1.4
5,1,2,125,4,2.71201960386315,2.8,119.5,0,0.712019603863155,-0.903675139485159,0.84393317263275,2.68752924781984,0.780615004089557,1.4,0,2.8,4,0.7,0.35,1.4
5,1,2,126,8,4.1433615709866,0.7,120.2,0,0.143361570986599,0.324353860529489,-0.123118446581941,2.71201960386315,0.84393317263275,2.8,1.4,0,4,0.0875,0.7,1.63333333333333
5,1,2,127,4,2.39308637702925,1.4,121.6,0,0.393086377029249,-1.17730594233753,0.019352763308508,4.1433615709866,-0.123118446581941,0.7,2.8,1.4,8,0.35,0.0875,1.63333333333333
5,1,2,128,4,2.29842258868302,1.4,123,0,0.298422588683025,-1.25852334531359,-0.225394095203554,2.39308637702925,0.019352763308508,1.4,0.7,2.8,4,0.35,0.35,1.16666666666667
5,1,2,129,6,3.58117041117112,1.4,124.4,0,0.581170411171115,-0.157981642559789,0.874016726837685,2.29842258868302,-0.225394095203554,1.4,1.4,0.7,4,0.233333333333333,0.35,1.4
5,1,2,130,4,2.2844807966776,0,124.45,0,0.284480796677599,-1.27048479497977,-0.261439660830788,3.58117041117112,0.874016726837685,1.4,1.4,1.4,6,0,0.233333333333333,0.933333333333333
5,1,2,131,4,2.12608607617949,1.4,125.85,0,0.12608607617949,-1.40638055901707,-0.670958558437365,2.2844807966776,-0.261439660830788,0,1.4,1.4,4,0.35,0,0.933333333333333
5,1,2,132,10,4.71958751094098,0.7,126.55,0,-0.280412489059017,0.818730593049101,-0.755434472706808,2.12608607617949,-0.670958558437365,1.4,0,1.4,4,0.07,0.35,0.7
5,1,2,133,6,3.1228218682827,1.4,127.95,0,0.122821868282699,-0.551224707955697,-0.359798639301802,4.71958751094098,-0.755434472706808,0.7,1.4,0,10,0.233333333333333,0.07,1.16666666666667
5,1,2,134,10,4.89961860477888,0,128,0,-0.10038139522112,0.973189422046902,-0.479899756143587,3.1228218682827,-0.359798639301802,1.4,0.7,1.4,6,0,0.233333333333333,0.7
