type,id,session,trial,delay,response,reward,totalvolume,flag,accuracy,normResponse,normAccuracy,lagResponse,lagNormAccuracy,lagReward,lagReward2,lagReward3,lagReward21,lagDelay,rewardRate,lagRewardRate,windowReward
6,9,1,6,8,3.19968029808683,0,NaN,0,-0.800319701913168,-0.246146514544203,-0.608272583411201,2.55083351311964,-0.26923704975372,0,0,0,NaN,6,0,0,0
6,9,1,7,10,5.96931087517532,0,NaN,0,0.969310875175324,1.17079632293586,0.0126927907262925,3.19968029808683,-0.608272583411201,0,0,0,NaN,8,0,0,0
6,9,1,8,6,2.09115645320799,0,NaN,0,-0.908843546792014,-0.813267247240661,-0.851084655154476,5.96931087517532,0.0126927907262925,0,0,0,NaN,10,0,0,0
6,9,1,9,10,5.93256299552172,0,NaN,0,0.932562995521721,1.15199610990438,-0.011741096486622,2.09115645320799,-0.851084655154476,0,0,0,NaN,6,0,0,0
6,9,1,10,10,4.33453062761896,0,NaN,0,-0.66546937238104,0.334442846125272,-1.07428247324042,5.93256299552172,-0.011741096486622,0,0,0,NaN,10,0,0,0
6,9,1,11,8,3.73620502969356,0,NaN,0,-0.263794970306435,0.0283395060355672,-0.255597689485685,4.33453062761896,-1.07428247324042,0,0,0,NaN,10,0,0,0
6,9,1,12,8,4.80209528190653,0,NaN,0,0.802095281906531,0.573648895275721,0.445046119625785,3.73620502969356,-0.255597689485685,0,0,0,NaN,8,0,0,0
6,9,1,13,4,1.73173854999027,0,NaN,0,-0.268261450009732,-0.9971454250162,-0.0818215800994263,4.80209528190653,0.445046119625785,0,0,0,NaN,8,0,0,0
6,9,1,14,4,1.46048347857709,0,NaN,0,-0.539516521422911,-1.13591950331696,-0.516437652571299,1.73173854999027,-0.0818215800994263,0,0,0,NaN,4,0,0,0
6,9,1,15,10,6.52479791264886,0,NaN,0,1.52479791264886,1.45498345806222,0.382039478203364,1.46048347857709,-0.516437652571299,0,0,0,NaN,4,0,0,0
6,9,1,16,4,1.16678282185899,0,NaN,0,-0.833217178141012,-1.28617674171637,-0.987016968343048,6.52479791264886,0.382039478203364,0,0,0,NaN,10,0,0,0
6,9,1,17,6,2.76729591575258,0,NaN,0,-0.232704084247416,-0.46735433866882,0.00475558902507208,1.16678282185899,-0.987016968343048,0,0,0,NaN,4,0,0,0
6,9,1,18,10,6.74425947195232,0,NaN,0,1.74425947195232,1.56725997866741,0.527960794974224,2.76729591575258,0.00475558902507208,0,0,0,NaN,6,0,0,0
6,9,1,20,4,1.27550078501281,0,NaN,0,-0.72449921498719,-1.23055663827349,-0.812824560043027,0.722753688869943,-2.58317429175041,0,0,0,NaN,6,0,0,0
6,9,1,21,4,2.60405095021883,0,NaN,0,0.604050950218834,-0.55087045326591,1.31583335545888,1.27550078501281,-0.812824560043027,0,0,0,NaN,4,0,0,0
