type,id,session,trial,delay,response,reward,totalvolume,flag,accuracy,normResponse,normAccuracy,lagResponse,lagNormAccuracy,lagReward,lagReward2,lagReward3,lagReward21,lagDelay,rewardRate,lagRewardRate,windowReward
5,41,2,98,8,5.32835793323284,0,79.95,0,1.32835793323284,0.873716009008676,0.988025914112756,4.27819126226677,-0.39876862080029,0.7,2.8,0.7,1.4,8,0,0.0875,1.16666666666667
5,41,2,99,4,2.1558520158851,2.8,82.75,0,0.155852015885102,-1.28115093051458,-0.397146814959256,5.32835793323284,0.988025914112756,0,0.7,2.8,0.7,8,0.7,0,1.16666666666667
5,41,2,100,4,2.1111124143481,1.4,84.15,0,0.111112414348099,-1.31153949108821,-0.494202502218695,2.1558520158851,-0.397146814959256,2.8,0,0.7,0,4,0.35,0.7,1.4
5,41,2,101,8,4.4943814524886,2.8,86.95,0,0.494381452488597,0.307252653694235,-0.113279295543343,2.1111124143481,-0.494202502218695,1.4,2.8,0,0.7,4,0.35,0.35,2.33333333333333
5,41,2,102,6,4.00994513111982,0.7,87.65,0,1.00994513111982,-0.021791906164159,0.806889538870427,4.4943814524886,-0.113279295543343,2.8,1.4,2.8,2.8,8,0.116666666666667,0.35,1.63333333333333
5,41,2,103,8,4.55474103249253,1.4,89.05,0,0.554741032492529,0.348250800529126,-0.0335716281860288,4.00994513111982,0.806889538870427,0.7,2.8,1.4,1.4,6,0.175,0.116666666666667,1.63333333333333
5,41,2,104,10,6.4133592468952,1.4,90.45,0,1.4133592468952,1.61068341618217,0.652640711558447,4.55474103249253,-0.0335716281860288,1.4,0.7,2.8,0,8,0.14,0.175,1.16666666666667
5,41,2,105,8,4.5693033364696,0,90.5,0,0.569303336469602,0.358141980631232,-0.0143414201347971,6.4133592468952,0.652640711558447,1.4,1.4,0.7,1.4,10,0,0.14,0.933333333333333
5,41,2,106,6,4.5713453783701,0.7,91.2,0,1.5713453783701,0.359529000449363,1.65923200982914,4.5693033364696,-0.0143414201347971,0,1.4,1.4,1.4,8,0.116666666666667,0,0.7
5,41,2,107,6,3.92695800267029,0,91.25,0,0.92695800267029,-0.0781594037073522,0.680894841741432,4.5713453783701,1.65923200982914,0.7,0,1.4,1.4,6,0,0.116666666666667,0.233333333333333
5,41,2,108,8,5.55226911789759,1.4,92.65,0,1.55226911789759,1.02580360846285,1.28371117606583,3.92695800267029,0.680894841741432,0,0.7,0,2.8,6,0.175,0,0.7
5,41,2,109,6,4.40256756566487,2.8,95.45,0,1.40256756566487,0.244889741075624,1.40298613421938,5.55226911789759,1.28371117606583,1.4,0,0.7,1.4,8,0.466666666666667,0.175,1.4
5,41,2,110,4,2.87387957465398,0,95.5,0,0.873879574653984,-0.793443771452387,1.16050358409253,4.40256756566487,1.40298613421938,2.8,1.4,0,1.4,6,0,0.466666666666667,1.4
