id,session,HR,HRV,EBR,SCL
19,3,87.67893,0.06811451,0.2613203,0.7053682
20,3,74.37202,0.06847609,0.3515754,0.1395976
21,3,76.41313,0.06910113,0.332579,0.1835889
22,3,66.65676,0.07730021,0.5333222,0.08732308
23,3,93.75867,0.03138481,0.9021921,-0.4255623
24,3,79.59163,0.0619527,0.4817947,0.6261722
25,3,84.38662,0.04845263,0.4698911,-0.05819603
26,3,84.74528,0.03991131,0.3808615,NaN
27,3,80.88432,0.06805332,0.6146522,0.2775916
28,3,72.70689,0.05506921,0.476905,2.9799
29,3,86.32439,0.05488807,0.7494453,0.3560621
30,3,90.68891,0.04494315,0.5048653,0.8251715
31,3,105.8627,0.09815723,0.5209115,0.2406459
32,3,75.83005,0.08383507,0.3545521,-0.03647772
33,3,68.96554,0.1023014,0.3257239,-0.004141802
34,3,89.70836,0.0495562,0.6133104,NaN
35,3,73.09838,0.08642438,0.3743421,0.4818491
36,3,72.3742,0.06693755,0.4212255,0.0002215989
37,3,79.10297,0.05375123,0.5033118,1.302779
38,3,83.88631,0.07105085,0.5703672,0.4691554
39,3,94.01828,0.04601193,0.3933949,0.1801141
40,3,70.14667,0.07904273,0.6230081,0.1715733
41,3,76.75574,0.08801883,0.4079692,0.2885471
42,3,83.6329,0.06595382,0.3900231,1.804363
43,3,74.53401,0.06957588,0.4667421,-0.02694372
44,3,75.9573,0.05954586,0.4062751,0.6614568
45,3,66.31667,0.1108904,0.2878765,0.1495689
46,3,83.03695,0.05682768,0.3453454,0.5658408
47,3,84.28241,0.0626803,0.5371305,2.729592
48,3,64.54949,0.07876349,0.4996978,-0.0829739
49,3,74.45976,0.05322137,0.423807,0.5991997
50,3,82.43628,0.04275383,0.505198,-0.03471303
51,3,89.29936,0.04370597,0.3473167,0.7627667
52,3,47.24826,0.09845514,0.1567213,0.005672276
1,4,89.25681,0.04331508,0.5638535,NaN
2,4,79.73654,0.1018792,0.6478215,NaN
3,4,75.73674,0.06531434,0.3245009,NaN
4,4,77.79697,0.07242137,0.5238329,NaN
5,4,59.33623,0.08067561,0.3641894,NaN
6,4,74.92268,0.03512895,0.1504129,NaN
7,4,82.59695,0.04590916,0.6096442,NaN
8,4,64.87362,0.07794219,0.3243681,NaN
9,4,66.11415,0.114002,0.349948,2.336802
10,4,66.11817,0.1270529,0.5435591,NaN
11,4,71.5314,0.06721231,0.3878896,NaN
12,4,78.13274,0.08217699,0.566992,-4.880391
13,4,69.91651,0.07866466,0.1471016,-2.195545
14,4,87.59435,0.04598338,0.4627513,0.8430455
15,4,68.29488,0.07625104,0.294991,1.131097
16,4,88.88136,0.05884835,0.3206141,NaN
17,4,78.98793,0.05855802,0.2918992,0.997713
18,4,69.30677,0.08888673,0.5821041,NaN
19,4,90.14075,0.05686223,0.2631227,-0.7350105
20,4,73.98571,0.05391861,0.5929477,1.595513
21,4,74.84401,0.07983799,0.4503678,0.7403813
22,4,65.54462,0.06704628,0.5299227,0.3645991
23,4,96.83036,0.03305317,0.7618485,-1.399335
24,4,75.99192,0.05331898,0.2527118,-0.07252116
25,4,86.51118,0.03907462,0.4265837,1.199357
26,4,83.6296,0.05776243,0.418148,NaN
27,4,86.92793,0.06227982,0.4890075,0.6072721
28,4,69.87997,0.04879456,0.6031803,-0.004080552
29,4,81.31354,0.04551969,0.7350889,2.174351
30,4,94.57947,0.04440248,0.651802,1.184347
31,4,106.8262,0.08776979,0.3282866,1.00036
32,4,73.39268,0.09142272,0.4304991,0.6970996
33,4,67.81798,0.0973042,0.3691359,0.00602761
34,4,92.73568,0.05374124,0.6362448,NaN
35,4,71.40889,0.07025559,0.3602143,7.689224
36,4,70.96676,0.09732217,0.4713551,-0.03442222
37,4,78.24054,0.0423562,0.4187185,-5.194708
38,4,91.20404,0.06162491,0.7024777,0.1294765
39,4,94.86441,0.0502643,0.478066,-0.02240802
40,4,70.26524,0.07815724,0.5208178,1.398427
41,4,80.91795,0.09200603,0.4684409,3.085135
42,4,84.2001,0.06752215,0.5079015,4.221594
43,4,75.02652,0.06126436,0.4874605,0.04894258
44,4,77.19886,0.05246646,0.3431061,-0.0338724
45,4,66.63617,0.1037295,0.2784072,0.2122818
46,4,77.98318,0.05508175,0.2599439,-1.005604
47,4,79.62592,0.02966529,0.301479,7.492337
48,4,64.04736,0.07402542,0.5352315,0.01490824
49,4,71.96098,0.03772118,0.3251968,0.4640024
50,4,79.43127,0.04158534,0.4382415,0.08396038
51,4,87.03352,0.04849167,0.2358632,3.566044
52,4,49.42114,0.1002215,0.08985662,-0.4511232
