A	DA	B	DB	R
23.5	0	30.6	1	0
24.5	0	34.1	9	0
20.1	0	28.8	9	0
24.4	0	39.7	12	0
20.8	0	23.4	2	0
21.5	0	24.3	2	0
26.6	0	99.2	9	0
27.8	0	20.2	6	1
27.7	0	30.6	2	0
20.6	0	30.1	9	0
26.5	0	16.2	4	0
29.7	0	31.4	1	0
21.4	0	32.2	9	0
28.6	0	18.6	4	0
22.8	0	24.3	1	0
21.3	0	17.3	12	0
29.7	0	41.7	6	0
24.3	0	100.8	4	1
28.8	0	41.7	6	0
22.9	0	123.6	9	0
22.7	0	29.2	4	0
24.4	0	658.9	6	1
23.1	0	38.4	9	0
27.8	0	36.8	4	0
22.3	0	89.1	4	0
26.3	0	-544.9	6	1
23.2	0	-1561.9	6	1
26	0	49.3	12	0
29.1	0	19.6	2	0
28.3	0	26.1	12	0
25.1	0	29.6	2	0
25.3	0	52	12	0
22.8	0	16.9	1	0
29.6	0	46.8	6	0
21.7	0	18.7	2	0
25.1	0	57.8	4	0
29.8	0	28.8	9	0
20.3	0	15.8	2	0
26.8	0	90	4	0
22.5	0	27	2	0
26.5	0	22.9	6	0
27	0	29.8	1	0
28.2	0	211.1	6	1
20.7	0	22.9	1	0
24.7	0	27.3	1	0
21.7	0	35.4	6	1
24.8	0	19.2	2	0
22.6	0	21.6	6	0
26.8	0	249.6	9	1
29	0	35.3	2	0
29.3	0	36.2	12	0
25.5	0	38.2	12	0
21.4	0	38.6	6	0
21.7	0	28.7	6	0
28	0	42.8	9	0
22.8	0	22.2	9	0
21.2	0	34.7	9	0
25.6	0	24.8	4	0
28.1	0	37.8	4	0
23.4	0	27.9	2	0
21.3	0	70.9	12	0
23.4	0	25.5	1	0
29.9	0	28	4	0
24.5	0	52	12	0
27.1	0	40.2	12	0
26.2	0	33.7	6	0
21.8	0	21.1	1	0
