A	DA	B	DB	R
24.8	0	37.4	4	0
29	0	45.1	12	0
27.7	0	36.9	6	0
20.2	0	14.8	1	0
28.2	0	39.2	6	0
26.5	0	28.6	1	0
29.7	0	44	6	1
21.4	0	33.4	9	1
20.1	0	24.5	4	0
29.9	0	36.9	4	0
28.8	0	29.2	12	0
21.2	0	21.7	9	0
28.7	0	40.5	6	1
20.2	0	32.2	1	1
26.9	0	42.1	9	1
24.2	0	46.4	4	1
23	0	27.3	12	0
27.2	0	28.8	6	0
25.6	0	41.3	4	1
21.7	0	37.8	6	1
21.5	0	20	1	0
27.5	0	40.2	4	1
22	0	46.1	12	1
21.1	0	28.7	6	0
23.7	0	27.8	4	0
21.2	0	19.3	2	0
26.7	0	28.3	1	0
20.7	0	23.4	2	0
24.1	0	31.3	4	0
21.4	0	28.7	4	0
24.5	0	52.3	9	1
27.2	0	40.6	4	1
27.7	0	43.2	6	1
27.3	0	33.9	2	0
25.2	0	31.2	9	0
23.3	0	21.7	1	0
29.4	0	74.1	12	1
25.8	0	38.6	6	1
30	0	32.2	1	0
24.4	0	29.9	6	0
23.8	0	48	9	1
26	0	50.8	9	1
29.8	0	50.3	9	1
28.1	0	27.3	1	0
28.3	0	28	1	1
22.8	0	24.2	4	0
23.4	0	41.1	12	1
21.1	0	19.5	1	0
22.7	0	29.2	2	0
21.3	0	27.5	1	0
27.2	0	39.8	1	0
20.9	0	38.4	1	1
29.5	0	46.6	12	1
29.2	0	44.5	12	1
26.5	0	65.5	6	1
23.9	0	27.8	4	0
29.9	0	81	9	1
20.9	0	24.4	4	0
23.3	0	24.4	1	0
25.6	0	30.2	4	1
25.7	0	22.9	6	0
24.5	0	28.8	4	0
26.6	0	24.8	6	0
21.9	0	18	1	0
25.4	0	25	6	0
24.9	0	29.4	12	0
26	0	31.5	4	0
24.1	0	23.7	4	0
22	0	22	4	0
28.5	0	25.5	1	0
21.3	0	32.4	9	1
23.7	0	28.3	9	0
25.4	0	42.8	6	0
23.5	0	26.4	2	0
24.7	0	39.6	4	1
26.9	0	65.2	12	0
28.4	0	50.5	12	1
26.8	0	46.5	12	1
24.1	0	21.1	1	0
22.3	0	22.4	4	0
26	0	41.4	4	0
22.8	0	27	9	0
26.8	0	38.7	2	1
23.8	0	22.3	2	0
22.8	0	28.8	4	0
27.4	0	70.2	12	1
