A	DA	B	DB	R
24.8	0	29.1	4	0
23	0	22.6	4	0
20	0	29.9	4	0
22.7	0	30.8	6	0
24.7	0	26.5	1	0
29.2	0	50.8	2	1
26.1	0	34.7	4	0
20.4	0	31.3	12	1
27.8	0	24.7	9	0
26.7	0	30.1	2	0
26.8	0	134.7	12	1
28.6	0	24	2	0
24	0	85.4	12	1
27.5	0	39.7	6	0
24	0	42.4	9	0
27	0	45.8	4	1
20.8	0	25.2	2	0
27	0	47.7	9	1
29.2	0	31.6	1	0
20.4	0	67.8	12	1
21.8	0	20	1	0
22.3	0	21.2	1	0
20.5	0	35.5	12	0
29.6	0	65.9	12	0
20.9	0	27.2	1	1
27.5	0	41.8	6	0
27.8	0	42.5	9	0
23.3	0	37	2	1
22.8	0	32.1	12	0
25.7	0	41.5	4	0
27.8	0	49.9	12	0
29	0	31.4	1	0
26.1	0	39.1	6	1
21.7	0	44	2	1
28.5	0	30.3	9	0
21.3	0	23	1	0
28.9	0	33.5	2	0
25.3	0	33.8	4	1
22.6	0	26.1	2	0
21.4	0	41	12	0
20.3	0	35.8	9	0
22.1	0	26.2	2	1
22.1	0	39.5	9	0
23.7	0	35.6	2	1
29.8	0	63.4	12	0
24.6	0	29.6	2	1
22.8	0	32.7	2	1
21.3	0	41.5	6	0
28.8	0	34.6	2	1
29.3	0	44.1	12	0
20.4	0	23.4	4	0
