A	DA	B	DB	R
22	0	33	12	0
21	0	37.9	6	1
26.5	0	32.5	4	1
27.4	0	32.5	4	1
25.9	0	25.3	4	0
27.6	0	45.9	9	1
29.8	0	37.2	6	1
22.8	0	24.5	2	0
24.3	0	22.4	1	0
27.2	0	32.6	9	0
20.2	0	21	1	0
21.6	0	29.3	12	0
20.3	0	23.7	12	0
21.8	0	27.3	12	1
22.2	0	28.5	9	0
22.5	0	26.4	4	0
24	0	22.1	9	0
29.8	0	32.8	2	1
23.5	0	32.6	9	1
25	0	36.4	12	1
27.4	0	50.2	4	1
21.2	0	48.1	12	1
27.1	0	28.9	2	0
28.1	0	31.9	4	0
22.8	0	35.9	4	1
25	0	44.2	9	1
24.5	0	26.2	2	0
21.4	0	19.5	2	0
28.3	0	45.2	9	1
28.4	0	34.1	6	1
20.4	0	21.7	2	1
25.3	0	34.3	12	1
26.2	0	29.1	4	0
29.6	0	30.5	1	0
27.5	0	44.7	12	1
29.2	0	36.5	9	0
29.2	0	32.7	4	0
25.6	0	27.2	2	0
27	0	37.2	12	1
29.1	0	36.8	9	1
20.3	0	21.4	2	0
26.2	0	26.9	1	0
27.7	0	35.3	4	1
21.2	0	22.2	6	0
29.8	0	34.9	6	1
20.4	0	27.1	12	1
26.2	0	30.3	6	1
24.2	0	22.7	1	0
