A	DA	B	DB	R
23.3	0	27.4	4	0
21.6	0	24.7	9	0
27.2	0	60.2	12	0
25.4	0	41.1	9	1
28.4	0	34.5	4	0
25.3	0	70.7	6	1
23.5	0	41.6	2	1
23.9	0	23.7	6	0
22.3	0	34.7	9	0
25.1	0	32.3	4	0
27.1	0	37	1	1
20.6	0	22.3	1	0
29.4	0	32	1	0
27.2	0	74.9	12	1
24	0	42.3	12	0
26.2	0	67	12	1
26.2	0	41.9	6	0
20.3	0	25.5	6	1
25	0	35.6	4	0
26.2	0	30.7	4	0
20.6	0	21.6	1	0
28.8	0	36.9	6	0
22.7	0	29.7	6	0
20	0	100.1	9	1
26.6	0	55	2	1
25.8	0	84.9	9	1
29	0	36.1	4	0
20.4	0	24.7	12	0
23.6	0	34.1	6	0
25.2	0	29.6	2	0
20.8	0	32.5	6	0
22	0	35.7	4	1
22.5	0	25.3	2	0
