A	DA	B	DB	R
20.8	0	27.8	1	1
29.4	0	44.2	2	1
24.2	0	121.1	9	1
28.8	0	51.2	4	1
20.2	0	39.9	6	1
23	0	50.7	6	1
24.9	0	55.8	9	1
24.8	0	27.9	1	0
22.6	0	28.7	2	0
21.1	0	40.3	9	1
22.8	0	61.9	12	1
20.4	0	56.2	6	1
26.7	0	81.6	9	1
22.9	0	61.7	9	1
28.5	0	39.3	2	0
24.7	0	50.6	4	1
24.6	0	31	4	0
20.4	0	51	12	0
24.5	0	55.1	4	1
20.1	0	48.1	6	1
24.1	0	66	9	1
28.3	0	84.9	12	1
26.5	0	34.8	2	0
27	0	129.9	9	1
23.7	0	51.7	12	0
22.1	0	23.4	1	0
25.6	0	38.4	4	1
29.4	0	42.5	1	1
28.5	0	59.1	12	0
20.6	0	61.9	9	1
26.9	0	30.8	1	0
30	0	43.7	2	0
22	0	40.5	2	1
22	0	45.9	12	0
22.7	0	31.7	4	0
21.4	0	30.7	4	0
28.9	0	59	6	1
27.4	0	39.9	4	1
27.4	0	42.8	6	0
21.4	0	41.9	4	1
29.6	0	69.3	9	1
27.8	0	35.8	2	0
26.8	0	62.4	9	1
24.6	0	28.1	1	0
21.5	0	31.3	2	0
23.3	0	56.3	9	1
