A	DA	B	DB	R
25.6	0	30.1	4	0
20.5	0	21.5	6	1
23.9	0	32.8	9	0
25.3	0	35.8	9	0
24.8	0	77.8	6	0
23.1	0	365.4	6	1
24.7	0	86.3	1	1
28.7	0	22.9	12	0
24.7	0	29.9	4	0
21.9	0	29.1	6	0
21.6	0	58.5	2	0
25.6	0	28.5	2	0
25.1	0	15.6	2	0
21.2	0	31.9	9	0
28	0	180.6	4	1
28.4	0	30.2	1	0
25.1	0	43.3	12	0
27.1	0	24.5	12	0
20.8	0	16.4	4	0
23.7	0	17.4	1	0
25.7	0	27.7	1	0
29	0	32.8	12	0
23.1	0	40.1	9	0
21.3	0	38.2	9	0
20.9	0	40.6	4	0
25.6	0	38.9	6	0
27.1	0	82.8	4	0
27.6	0	55.2	12	0
24.9	0	50.8	12	0
26	0	47.3	9	0
29.9	0	69.6	1	0
24.4	0	17.9	4	0
20.1	0	22	1	0
24.9	0	29.6	2	0
28.7	0	34.1	2	0
29.8	0	62.9	12	0
27.8	0	28	12	0
27.2	0	51.5	9	0
28.8	0	55.2	9	0
21.3	0	16.1	1	0
25.8	0	24.1	4	0
22.2	0	30.6	9	0
20.1	0	32.4	4	0
29.8	0	22.4	4	0
23.4	0	22.1	12	0
22.6	0	37.4	12	0
23.2	0	29.2	4	0
20.3	0	26.1	4	0
22.3	0	42.3	12	0
22.1	0	44.3	12	0
29.7	0	40.7	1	0
29.9	0	31.2	12	0
23	0	110.8	9	0
22.1	0	23.8	1	0
24.6	0	46.3	12	0
23.1	0	19.3	6	0
22.8	0	45.4	12	0
28.3	0	26.3	6	0
20.5	0	22.5	9	0
28.1	0	60.7	12	0
26.1	0	48.4	2	0
20.7	0	43.6	12	0
27.8	0	51.9	9	0
29.6	0	41.6	4	0
23.3	0	51.7	12	0
26	0	31.6	2	0
25.1	0	24.3	4	0
24.8	0	78.9	6	0
27.5	0	53.2	9	0
29.6	0	32.8	1	0
28.7	0	34	12	0
27.3	0	34.5	12	0
