A	DA	B	DB	R
27.2	0	31.9	4	1
20.1	0	34	9	1
26.1	0	30.4	12	1
20.4	0	24	6	0
26.8	0	72.7	9	1
27.5	0	50.2	4	1
22	0	49	12	1
22.4	0	40.1	9	1
29.7	0	31.5	2	0
26.5	0	37.1	4	1
23.9	0	40.4	12	1
29.7	0	30.6	1	0
24.5	0	27.7	4	0
26.6	0	26.4	2	0
27	0	36	12	1
23.2	0	23.9	1	0
29.6	0	29.8	6	0
20.8	0	24.3	12	0
28.5	0	45.1	12	1
23.3	0	31.6	12	0
24.2	0	25.9	2	0
27.9	0	39.8	12	0
20.1	0	21	1	0
27.3	0	26.6	4	0
23.1	0	28.1	9	0
27.7	0	37.3	6	1
29.5	0	30.9	1	0
20.6	0	25.6	2	0
26.6	0	42.1	12	1
20.2	0	23.7	4	0
21.9	0	16.7	1	0
22.8	0	32.2	9	0
25.6	0	27	1	0
26.2	0	29	2	0
21.9	0	29.2	6	0
21	0	26.2	4	0
27.5	0	34.8	4	0
24.3	0	34.7	6	0
27.1	0	39.9	6	0
27.4	0	48.5	9	1
20.8	0	41.8	4	1
25.4	0	84.9	12	1
23	0	57.6	9	1
26.5	0	38	12	1
21.7	0	23.1	1	0
23.3	0	24.8	9	0
20.6	0	38.6	4	1
24.6	0	43.7	12	1
22.4	0	26.9	12	0
25.5	0	22.1	1	0
20.5	0	21.8	1	0
29.2	0	32.2	6	0
21.5	0	23	1	0
21	0	33.8	9	0
26	0	27.9	1	0
20.9	0	24.1	2	0
26.6	0	26.1	2	0
27.6	0	38.2	2	1
23.8	0	27.6	2	0
29	0	45.8	12	0
22.8	0	33.4	9	0
