A	DA	B	DB	R
27.5	0	41.2	12	1
22.6	0	29.1	9	0
20.1	0	27.1	9	0
23.7	0	25.8	2	0
21.9	0	24	2	0
22.6	0	18.3	1	0
24	0	38.7	12	1
24.9	0	29.3	4	1
29.3	0	30.1	9	0
21.2	0	22.1	1	0
29.4	0	31.9	9	1
26.9	0	22.1	6	0
22.4	0	23.3	1	1
26.3	0	19.9	1	0
24.6	0	21	4	0
23.4	0	27.1	4	1
25.7	0	26.7	1	1
21.7	0	35.3	4	1
23.2	0	20.1	2	0
22	0	21.6	6	0
21.6	0	23.1	2	1
24	0	40	9	1
20.9	0	25	6	1
21.6	0	21.7	6	0
29.8	0	33.4	4	1
23.1	0	32	6	1
24.5	0	38.6	12	1
26.2	0	32.9	4	1
29.8	0	39.1	12	1
28.8	0	37	12	1
29.1	0	27	1	0
20.5	0	25.9	6	1
23	0	23.6	6	0
20.8	0	22.6	4	1
26.2	0	31.1	9	1
27.1	0	31.9	9	1
25.1	0	29.3	9	0
20.2	0	23.9	4	0
23.4	0	29.2	12	1
26.5	0	29.2	12	0
27.5	0	34	12	0
27.6	0	26.2	2	0
27.4	0	25.7	1	0
28.8	0	36.2	6	1
24.6	0	24.2	6	0
20.8	0	28.7	12	1
20.5	0	31.7	12	1
22.3	0	28.9	12	0
25.5	0	32.2	9	1
22.6	0	23.3	4	0
