A	DA	B	DB	R
23.3	0	43.4	9	0
29.2	0	43.6	9	0
25.7	0	20.8	2	0
25.6	0	21.1	1	0
21.5	0	46.4	6	1
23.3	0	25	4	0
29	0	57.9	12	0
21.5	0	25.8	2	0
20.1	0	38.8	9	0
27.5	0	37.7	2	0
22.6	0	26.8	4	0
24	0	72.8	4	1
20.4	0	32.2	12	0
20	0	41.1	2	0
22.3	0	681.8	9	1
23.8	0	16.5	4	0
23.8	0	28.8	4	0
28.7	0	30.4	1	0
26.1	0	19.4	4	0
22.9	0	34.8	9	0
29.6	0	46.5	9	0
29.6	0	96.1	6	1
27.7	0	138.9	12	1
25.7	0	33.4	4	0
20.4	0	63.3	9	0
25.1	0	79	4	0
27.5	0	43.5	9	0
21.3	0	38.6	12	0
23.2	0	18.4	6	0
25.1	0	29.2	2	0
28.9	0	33.7	2	0
20	0	26.8	4	0
28.6	0	136	6	1
29.7	0	22.5	1	0
25	0	86.9	6	1
20.7	0	26.2	12	0
25.6	0	40.3	1	1
24.6	0	29.7	2	0
23.9	0	53.4	12	0
25.4	0	58	12	0
