A	DA	B	DB	R
26.4	0	25.4	4	0
22.9	0	23.9	1	0
21	0	27.7	2	0
20.9	0	17.7	6	0
24.8	0	36.2	9	0
20.4	0	21.7	1	0
25.6	0	29	2	0
21.6	0	18.8	2	0
29.1	0	91.9	12	1
28.6	0	41.5	6	1
23.5	0	29.3	4	0
27.9	0	40.6	2	1
27.4	0	25.2	1	1
26.3	0	27.9	1	0
26.8	0	43.4	1	1
21.9	0	71.1	12	1
20.3	0	25.2	4	0
30	0	41.8	6	0
20	0	27.8	12	0
27.1	0	43.1	4	1
29.1	0	54.9	12	1
21	0	30.7	4	1
28.4	0	51.6	12	1
26.9	0	28.6	1	0
26.7	0	46	6	1
29.3	0	42	12	0
24.5	0	27.8	2	0
20.5	0	23.6	4	0
22.3	0	24.3	2	0
20.9	0	37.6	6	0
22	0	24.4	2	0
21.4	0	15.1	1	0
27.1	0	26.9	12	0
27.1	0	21.1	1	0
28.5	0	24.4	2	0
23	0	32.9	1	1
25.7	0	31.8	9	0
26.7	0	70	12	1
22.1	0	36.6	9	0
21.7	0	23.7	1	0
27.3	0	44.1	4	1
29.8	0	41.3	4	0
29.7	0	48.5	6	0
