A	DA	B	DB	R
23.8	0	24.9	1	0
29.9	0	33.7	9	0
23.4	0	22.3	2	0
22	0	36.4	12	0
20.9	0	34.1	6	1
27.6	0	38.7	6	0
23.5	0	29.3	2	0
25.4	0	36.3	6	0
24.2	0	32	4	0
21.1	0	61.7	12	1
21.6	0	44.2	12	0
22	0	34.8	4	0
26.9	0	28.4	4	0
23.6	0	35.2	2	1
22.9	0	46.3	6	1
23.8	0	68.6	12	1
20.4	0	20.4	1	0
23.5	0	38.1	6	0
27.3	0	41.2	4	0
24.6	0	84	6	1
25.1	0	26.4	1	0
29.7	0	145.4	12	1
20.4	0	21.5	1	0
27.7	0	29.5	12	0
23.6	0	38.8	2	1
24.8	0	31.3	4	0
20.2	0	29.5	6	0
24.2	0	70.7	12	1
20.8	0	47.9	9	1
24.2	0	53.5	9	1
22.6	0	56.9	12	1
20.3	0	42.1	12	0
23.8	0	36	6	0
