A	DA	B	DB	R
27.5	0	32.2	12	0
22.2	0	23.2	1	0
22.8	0	20.9	1	0
24.3	0	25.7	1	0
25.4	0	38	12	1
28.4	0	29.6	1	0
24.5	0	39.6	4	1
24.8	0	29.5	12	0
21.1	0	25	4	0
29.1	0	30.8	1	0
23.1	0	34	4	1
24.2	0	23.4	1	0
27.7	0	42.4	6	1
23.1	0	26.5	4	0
22	0	29.2	4	1
25.5	0	43.9	12	1
25.5	0	39.7	12	1
21.1	0	24.5	4	0
28.6	0	33.5	4	1
20.9	0	30.8	12	1
29.3	0	47.7	12	1
29.4	0	46.6	12	1
29.1	0	38.2	6	1
28.6	0	32.2	6	0
27.4	0	29.8	2	0
20.6	0	33.4	12	1
22.1	0	32.7	12	1
25.6	0	35.9	12	1
27.9	0	40.4	2	1
24.9	0	27.8	4	0
24.1	0	25.6	12	0
21.5	0	35.2	9	1
28.4	0	30.1	2	0
21.2	0	23.9	4	0
29.4	0	41.9	6	1
23.1	0	26.1	4	0
28.8	0	47.2	12	1
25.1	0	28.5	4	0
20	0	21.4	2	0
26.2	0	27.9	4	0
