A	DA	B	DB	R
22.5	0	20.3	2	0
23.8	0	25.9	2	0
21.2	0	31.5	4	0
27.2	0	45.4	12	1
26.2	0	22.8	9	0
20.9	0	36.2	1	1
20.9	0	22.9	2	0
30	0	47.6	1	1
27.2	0	42.8	2	1
24.1	0	26.6	2	0
21.5	0	32.1	2	0
23.2	0	63.9	6	1
28.1	0	85.5	9	1
24.6	0	39	1	1
28.2	0	27.1	6	0
26.4	0	30.8	12	0
26.9	0	45.8	4	0
22.4	0	52.4	6	1
20.6	0	45.4	6	1
21	0	28.7	6	0
27.4	0	86.4	12	1
24.6	0	28	2	0
21.5	0	23.5	6	0
24.2	0	21.6	1	0
26.1	0	28.2	1	0
23.3	0	22.8	2	0
29.5	0	36.4	6	0
22.8	0	29.2	1	0
29.1	0	39.4	4	0
20.5	0	37.6	9	0
27.6	0	26.1	1	0
20.4	0	31	9	0
29.4	0	37	6	0
27.3	0	49.3	6	1
22	0	29.3	6	0
24	0	30.4	4	0
29.3	0	42.6	6	0
27.7	0	30.1	1	1
25	0	43.3	6	0
28.7	0	53	12	0
26	0	44.9	9	0
25.6	0	39.5	2	1
26.6	0	34.8	1	0
22	0	28.8	4	0
21.1	0	19.3	4	0
23.9	0	37.4	1	0
27.2	0	43.9	9	0
21.9	0	51.6	1	1
29.9	0	50.8	9	0
27.6	0	55.1	12	0
24	0	76.5	6	1
27	0	140.1	12	1
29.3	0	35.1	2	0
30	0	43.5	1	0
21	0	31.8	6	0
22.2	0	30.4	4	0
26.8	0	29.4	1	0
22.4	0	41.9	9	0
20.5	0	33.2	6	0
26.8	0	32.6	2	0
22.3	0	24.8	1	0
21.7	0	24.9	4	0
