A	DA	B	DB	R
26.9	0	31.4	12	0
24.3	0	37.4	6	1
26	0	38.5	12	1
22.4	0	26.9	12	0
28.4	0	33.8	6	0
23	0	33.3	12	0
23.8	0	22.4	1	0
25.2	0	29.9	2	1
21.5	0	29.8	12	0
28.3	0	29.6	1	0
21.7	0	22.9	1	0
20.7	0	23.2	2	0
29.3	0	37.7	9	1
21.3	0	29.5	9	1
28.1	0	65.8	4	1
28.8	0	23	4	0
20.2	0	21.7	2	0
22.1	0	37.3	2	1
29.2	0	70.9	12	1
24.7	0	28.2	4	0
25.8	0	37.5	12	1
27.6	0	47	6	1
26.2	0	24	4	0
24.9	0	27.6	12	0
20.9	0	34	9	1
29.6	0	30.6	1	0
21.5	0	22.9	2	0
24.5	0	22.2	1	0
23.7	0	22.5	2	0
24.4	0	34.3	12	0
25.6	0	33.6	4	0
22.3	0	31.8	4	1
27.4	0	38	4	1
21	0	24.4	4	0
22.9	0	27	9	0
29.7	0	41.4	9	1
23.3	0	27.4	1	1
25.9	0	26.9	4	0
26.2	0	35.8	9	1
26.9	0	25.5	1	0
24.3	0	40.3	12	1
25.3	0	26.6	4	0
