A	DA	B	DB	R
29.6	0	26.7	2	0
28.5	0	27	2	0
29.6	0	30.9	1	0
23.4	0	25.4	4	0
25.1	0	38	9	0
24	0	34.6	6	0
27.7	0	49.6	12	1
21.2	0	24	2	0
24	0	25.7	1	0
25	0	47	6	1
22.2	0	27.2	6	0
21.7	0	26	1	1
27.4	0	36.2	4	0
27	0	31.9	2	0
29.4	0	71.1	12	1
27	0	45.3	6	0
22.8	0	49.7	12	1
26.4	0	60	9	1
23.3	0	46.5	12	1
27.9	0	51	6	1
28.7	0	70.2	12	1
26.4	0	28.4	1	0
23.6	0	33.7	9	0
28.8	0	56	12	1
29.6	0	31.8	1	0
25.1	0	57.4	12	1
23.9	0	25	2	0
23.8	0	27.8	12	0
23.2	0	44.6	12	1
20.9	0	21.6	4	0
21.4	0	29.2	6	0
21	0	22.2	1	0
29.5	0	43.2	4	1
23.8	0	32.5	6	0
24.1	0	33.6	6	0
