A	DA	B	DB	R
23.8	0	35.9	4	0
21.9	0	74.7	6	1
29.9	0	42.6	9	0
24.5	0	36.6	9	0
25.6	0	92.9	9	1
25.3	0	32.1	4	0
22.8	0	37.9	9	0
24.6	0	54.2	6	0
20.8	0	22.3	1	0
22.9	0	23.5	12	0
23	0	26	12	0
21.4	0	20.6	4	0
29.6	0	53.3	9	0
26.9	0	29.6	1	0
25.2	0	30.4	2	0
24.6	0	23.6	1	0
24.5	0	57	12	0
21.9	0	36.1	6	0
29.9	0	43.7	9	0
24.5	0	37.9	9	0
25.6	0	93.8	9	1
25.3	0	33.2	4	0
22.8	0	40.5	9	0
24.6	0	50.2	6	0
20.8	0	22.4	1	0
22.9	0	25.3	12	0
23	0	28.6	12	0
21.4	0	22.3	4	0
29.6	0	56	9	0
27.6	0	57.4	6	0
26.9	0	29.5	1	1
25.2	0	29.9	2	0
24.6	0	19.9	1	0
24.5	0	53.1	12	0
21.5	0	31.9	12	0
25.4	0	99.5	12	1
29.6	0	42.8	4	0
