A	DA	B	DB	R
22.9	0	23.3	6	0
27.9	0	38.7	9	0
23.8	0	40	12	1
27.1	0	28.9	6	0
30	0	35.8	4	0
27.6	0	32.8	1	1
22.7	0	42	12	1
28.4	0	30.9	2	0
28.8	0	59.8	9	1
28.6	0	26	1	0
24.8	0	40.5	12	1
25.9	0	47.4	12	1
22.3	0	25.8	1	0
25.1	0	46.5	6	1
26.8	0	28.8	2	0
26.6	0	27.7	1	0
28.3	0	41.9	12	1
22.3	0	31.3	12	1
28.2	0	23.7	2	1
21.6	0	29.6	12	0
25.3	0	30.4	6	0
29	0	22.7	6	0
27.9	0	66.6	6	1
22.1	0	25.2	4	0
22.8	0	17.7	2	0
26.1	0	21.9	4	0
28.5	0	32.7	4	0
25.9	0	37.6	12	1
20.6	0	48.7	12	1
29.7	0	57.6	9	1
20.7	0	26.8	9	0
29.8	0	27.2	4	0
21.3	0	28.1	9	1
29.6	0	30.5	9	0
28.8	0	32.2	12	1
21.6	0	17.8	1	0
28.8	0	32.4	4	0
28.1	0	33.5	6	0
22.4	0	22.5	9	0
28.3	0	56.1	12	1
20.9	0	21.7	9	0
24.2	0	25	1	0
27.2	0	35.5	9	1
28.8	0	30.2	9	0
21.8	0	30.3	12	1
20.4	0	26	9	1
26.9	0	42.8	9	1
29.5	0	37.3	2	1
29.2	0	32.5	4	0
28.1	0	37.8	12	0
28.7	0	27.7	4	0
23.4	0	21.7	2	0
28.5	0	39.9	6	1
27.2	0	32.2	6	0
21.1	0	25.7	2	0
24	0	26.2	9	0
22.6	0	24.9	9	0
29	0	32.9	4	0
25.9	0	27.7	2	0
24.3	0	24.2	4	0
23.3	0	28.3	6	1
29.4	0	29.4	4	0
20.3	0	24.5	6	1
27.1	0	35.3	9	0
