A	DA	B	DB	R
25.2	0	52.6	12	0
27.4	0	25.8	9	0
27.8	0	47.3	12	1
24.8	0	34.8	9	0
20.6	0	30.1	9	0
26.2	0	96.9	9	1
28.8	0	48.3	12	0
22.8	0	25.8	2	0
25.9	0	36.8	6	0
25.2	0	37	6	1
25.3	0	28.7	2	0
29.4	0	53.1	12	1
23.3	0	20.2	4	0
24.5	0	27.7	2	0
25.4	0	27.6	9	0
22.1	0	31.8	1	1
26	0	47.5	12	1
27.2	0	29	1	0
24.4	0	43.2	12	0
23.4	0	46.6	6	1
22.7	0	23.8	4	0
21.1	0	30.8	12	0
23.2	0	35.4	12	0
25.2	0	26.3	1	0
23.6	0	28.5	4	0
27.6	0	68.6	12	1
26.6	0	45.9	12	0
21	0	30.1	6	1
30	0	39	2	0
25.4	0	26.8	1	0
24.1	0	35.8	9	1
20.7	0	88.9	9	1
22.7	0	24.9	2	0
22.8	0	18.3	4	0
25.5	0	22.7	6	0
26.7	0	23.6	4	0
21.7	0	24.1	2	0
22.6	0	37.7	12	0
21.3	0	33.3	9	0
27.2	0	36.6	12	0
28.2	0	26	1	0
29.6	0	29.8	2	0
21.4	0	24.6	2	0
24.3	0	61.3	12	1
25.9	0	41.3	12	0
27.4	0	46.9	9	1
