A	DA	B	DB	R
24.8	0	23.9	4	0
23.2	0	32.1	9	1
20.2	0	24.1	6	0
25.2	0	36.8	12	1
22.8	0	23.6	1	0
22.1	0	39.9	12	1
25.2	0	41.8	12	1
20.3	0	23	4	0
23.1	0	25.2	2	0
25.3	0	30.8	4	1
26.8	0	31.4	4	1
27.9	0	24.7	4	1
23	0	87.8	6	1
27.8	0	21.1	6	0
23.7	0	25.5	2	0
21.6	0	18.9	12	0
24.2	0	51.9	4	1
23.3	0	58	9	1
26.8	0	67.1	12	1
28.7	0	37.6	9	0
21.2	0	19	4	0
21.9	0	41.7	9	1
27.9	0	40.8	4	1
24.5	0	30.1	6	1
26.4	0	29.6	12	0
21.4	0	23.4	9	0
25.2	0	36	12	1
27.3	0	28.2	1	1
28	0	25.2	1	0
23.6	0	32.5	12	1
25.3	0	26.8	2	1
25.3	0	28.1	4	1
25.4	0	24.6	4	1
20.2	0	23.3	6	1
21.5	0	19	2	0
26.4	0	30.2	6	1
26.6	0	32.1	9	1
20.8	0	23.5	6	1
26.3	0	23.7	2	0
27.1	0	32.9	2	1
29	0	36.3	4	1
20.9	0	24.6	9	1
24.1	0	32.4	9	1
29.9	0	37.4	6	1
21.7	0	21.7	6	0
