A	DA	B	DB	R
20.2	0	18.3	2	0
23.8	0	22.6	2	0
22.3	0	39.4	12	0
26.1	0	29.7	2	0
22.4	0	35.1	4	1
27	0	51.7	12	1
23.5	0	31.1	2	1
22.8	0	48.2	12	1
30	0	60.4	12	1
20.4	0	20.4	1	0
26.5	0	33.4	4	1
20.4	0	27.1	6	1
27.6	0	30.1	2	0
22.3	0	26.4	1	1
20.9	0	23	2	0
26.5	0	27.9	1	1
27.3	0	30.1	2	1
26.8	0	38.1	9	1
20.5	0	30.3	12	1
22.9	0	20.9	1	0
24.5	0	26.2	2	1
22.9	0	27.6	12	0
28.1	0	34	6	1
21.3	0	25.4	6	1
26.1	0	30.1	1	1
29.9	0	33.4	4	1
29	0	34.4	12	0
22.2	0	27.2	4	1
20	0	22.2	1	1
29.8	0	33.1	4	0
28.8	0	38.9	12	1
29.2	0	30.1	4	0
24.2	0	32.6	9	1
24.3	0	30.6	6	1
24.8	0	32.1	9	1
24.5	0	40.8	12	1
25	0	23.2	1	0
23.5	0	25	6	1
24.5	0	30.2	9	1
24	0	25.1	2	1
25.2	0	25.8	12	0
26.2	0	27.3	2	1
22.4	0	22.9	1	0
25.1	0	28.3	6	1
25.9	0	30.3	9	1
20.2	0	23.2	2	1
25.2	0	25	4	0
22.4	0	26.1	6	1
