A	DA	B	DB	R
29.7	0	31	1	0
28.3	0	25.7	2	0
28.6	0	46.4	6	1
29.4	0	32.5	2	0
23.8	0	49	12	1
25.2	0	26.7	1	0
24.7	0	27.8	2	1
29.9	0	43.9	9	1
25.3	0	28.4	9	0
22.9	0	28.7	6	1
22	0	39	12	1
20.8	0	25.3	12	1
30	0	33.4	4	0
23.1	0	22.2	6	0
20.6	0	23.1	4	1
29.5	0	39.3	12	1
20.1	0	26.1	12	1
20.3	0	27.6	6	1
23.3	0	27.9	9	0
21.8	0	27.9	12	1
28	0	33.4	2	1
24.6	0	25.7	2	0
22.2	0	28	12	1
22.5	0	26.6	9	1
26.2	0	24.7	2	0
28.5	0	29	6	0
29.2	0	34.3	9	1
20.8	0	31.2	12	1
28.2	0	29.1	1	0
26	0	34	1	1
23.5	0	24.1	6	0
23	0	27.9	6	1
26.6	0	38.9	9	1
26.5	0	28.8	6	0
24.3	0	28.9	4	0
28.6	0	26	2	0
26.3	0	27.2	1	0
27.9	0	36.6	9	1
23	0	38.4	12	1
23.2	0	23.3	4	0
24.6	0	28.6	2	1
21.9	0	30.3	9	1
29	0	32.6	2	1
24.8	0	26.2	2	0
21.8	0	26.2	9	1
28.5	0	32.8	6	1
28.5	0	32.5	6	0
29.3	0	28.7	2	0
22.7	0	29.5	12	1
29.5	0	30.2	1	0
22.9	0	23.4	1	0
22.1	0	28.9	9	1
