A	DA	B	DB	R
27.9	0	26.8	4	0
29.9	0	32.1	6	0
22.8	0	30.5	4	1
23	0	31.4	6	1
26.9	0	35.4	9	1
25.2	0	31.3	9	0
24.6	0	34.4	9	1
28.9	0	47.6	6	1
21.4	0	25	4	0
26.8	0	43.4	12	1
21.7	0	19.9	2	0
27.3	0	34.3	2	1
25.6	0	24.4	1	0
28.9	0	40	9	1
29.2	0	38.4	9	1
26.1	0	27.7	2	0
29.5	0	31.4	2	0
24.6	0	31.7	4	1
24.7	0	35.8	9	1
24.8	0	28	4	0
20.8	0	25.2	9	1
28.2	0	45	12	1
24.8	0	28.9	6	0
24.9	0	33.8	12	1
29.7	0	35.1	2	1
20.5	0	21.1	1	0
25.5	0	24.6	2	0
21.8	0	23.3	6	0
27.3	0	28.1	1	1
26.1	0	29	4	1
24.7	0	33.3	9	1
20.6	0	29.2	12	0
28.1	0	26.8	1	0
