A	DA	B	DB	R
28.2	0	28.7	6	0
25.4	0	31	1	1
28.5	0	33.5	4	0
25.1	0	33.8	6	1
27.8	0	30.4	2	0
27.3	0	32.1	1	1
23.4	0	24.6	1	0
25.3	0	28	2	0
20.2	0	33.2	9	0
23.3	0	29.7	4	1
20.8	0	22	1	0
24.2	0	30	4	1
28.5	0	37.7	6	1
28.5	0	24.1	1	0
29.2	0	37.8	6	1
28.8	0	40.2	9	0
20.2	0	21.2	1	0
25.1	0	28.4	9	0
23.1	0	37.1	12	1
20.4	0	28.9	9	1
22.4	0	24.4	2	0
20.5	0	18.2	1	0
27.8	0	35.8	2	1
22	0	40.9	12	1
22.8	0	27.8	2	0
29.4	0	37.1	6	0
28.3	0	33.6	4	1
29.7	0	45.2	12	1
23.5	0	29.2	6	1
27	0	30.9	12	0
28.9	0	31.2	2	1
27.9	0	34.3	6	1
29.5	0	33.8	4	0
29.5	0	45.4	6	0
26.2	0	32.5	6	0
27.5	0	29.8	2	0
28.3	0	39.1	9	0
23	0	19.1	1	0
22.5	0	45.5	9	1
27	0	28.2	1	0
24.9	0	38.2	12	0
28.4	0	31.1	2	0
24.8	0	39.1	12	0
20.6	0	31.9	4	1
22.6	0	37.4	6	1
21.1	0	19.2	1	0
22.8	0	40.9	9	1
26.1	0	32.8	6	0
21.7	0	19.8	2	0
29.3	0	64.2	12	1
21.1	0	26.7	2	1
24.8	0	36.8	6	1
24.6	0	25.4	2	0
20.2	0	28.1	9	0
22.1	0	24.6	2	0
