A	DA	B	DB	R
23.6	0	25.9	9	0
27.6	0	32.5	4	0
29.2	0	56.8	9	1
20.4	0	27.2	6	0
25.9	0	29	4	0
23.3	0	42	9	1
26.3	0	29.7	1	0
23.7	0	21.9	2	0
25.7	0	35.3	6	0
29.7	0	32.6	4	0
28.7	0	37	4	0
27.2	0	26.7	1	0
21.2	0	21.3	1	0
27.5	0	28.7	1	0
20.7	0	48.1	12	1
24	0	30	1	1
29.9	0	57.5	12	1
20.1	0	28.9	6	0
25.2	0	27.8	9	0
28.4	0	31.6	2	0
21.1	0	23.7	2	0
24.4	0	24.5	2	0
25.3	0	29.7	1	0
24.7	0	61.4	9	1
25.1	0	42.8	12	0
21.1	0	22.6	1	0
20.3	0	26.1	4	0
27	0	31.2	2	0
28.9	0	29.6	2	0
26.4	0	35.3	4	1
27.1	0	45.9	6	1
22.4	0	32.8	6	1
27.4	0	31.4	2	1
28.2	0	30.2	1	1
20.8	0	23.6	2	1
27.5	0	46.5	6	1
20.6	0	39.1	9	1
28.6	0	33.7	1	1
23.7	0	26.8	2	0
24.1	0	38.8	9	1
21.8	0	21.3	1	0
25	0	31.5	4	1
28.3	0	30	1	0
20.7	0	36	12	0
