A	DA	B	DB	R
26.9	0	29.3	2	0
20.3	0	24.7	4	0
25.9	0	56	9	1
20.4	0	34.6	6	0
22.3	0	39	12	0
29.3	0	24.7	1	0
27	0	31.6	2	0
24.7	0	43.4	4	1
24.9	0	71.2	12	1
26.3	0	26.5	1	0
28.2	0	33.4	1	1
22.3	0	36.9	6	1
27.7	0	49.5	12	1
25.6	0	40.1	9	1
24.7	0	43.4	4	1
22.4	0	24.9	2	0
20.3	0	25	4	0
21.9	0	24.7	2	0
20	0	43	9	1
22.5	0	28.9	9	0
26.6	0	52.6	9	1
29.8	0	47.7	9	0
29.5	0	42.2	9	0
29.1	0	33.6	2	0
24	0	31.7	4	1
23.4	0	30.3	6	0
23.3	0	32.1	9	0
29.7	0	47.8	4	1
26.4	0	35.3	6	0
20.8	0	22.6	4	0
20.4	0	33.3	6	1
28.7	0	44.7	6	1
26.9	0	33.9	4	1
24.1	0	32.4	6	0
