A	DA	B	DB	R
22.4	0	33.6	12	0
27.9	0	41.7	9	0
29.9	0	28.3	2	0
29.2	0	41.2	6	0
20.9	0	36.8	6	1
26.6	0	30.9	2	0
23.5	0	31.8	4	0
24.8	0	29.6	2	0
24.9	0	27.5	1	1
23.8	0	44.4	9	1
22.9	0	40.2	9	1
26.3	0	23.3	1	0
23.6	0	27.2	2	0
23.3	0	31.7	2	0
29.6	0	28.8	6	0
24.3	0	23.5	4	0
24.2	0	28	2	0
24.3	0	50.6	6	1
26.2	0	51.3	12	1
21.7	0	40.2	12	1
21	0	22.4	1	0
28.2	0	29.7	6	0
28.3	0	30.3	1	0
21.9	0	40.2	12	1
22.5	0	22.3	4	0
23.5	0	26.7	2	0
29.7	0	39.1	1	1
27.4	0	50	12	1
29.1	0	51.1	12	1
22.3	0	37.7	12	0
25.3	0	62.5	12	1
21.9	0	23.3	1	0
28.8	0	68.1	12	1
20.5	0	21.8	1	0
28.4	0	64.9	12	1
27.2	0	42.5	9	0
29.2	0	43.6	12	0
21.4	0	22.4	1	0
22.4	0	36	4	1
20.1	0	22	6	0
29.8	0	59.9	12	1
26	0	41.3	12	0
22.6	0	38.6	12	0
21.5	0	25.3	4	0
