A	DA	B	DB	R
21.8	0	23.7	2	0
29	0	33.1	9	0
26.9	0	35.9	6	0
27.6	0	25.9	1	1
23.8	0	25.1	1	0
27.8	0	37.1	6	0
27.4	0	29.2	1	0
25.6	0	23.5	4	0
23.9	0	21.6	2	0
22.2	0	61.9	12	1
26.3	0	29	4	0
21.6	0	32.7	4	0
20.2	0	58.2	9	1
21.9	0	23.7	1	0
25	0	43.6	9	0
27.7	0	56.4	6	1
29.8	0	32.8	1	0
25.7	0	25.6	1	0
22.5	0	42.1	6	0
20.6	0	19.2	1	0
21.2	0	22.2	2	0
21.5	0	42.7	6	0
20.8	0	29.4	4	0
24.7	0	40.6	6	0
20.5	0	25.1	2	0
27.9	0	34.3	2	0
21.5	0	40.1	9	0
28.2	0	34.7	4	0
20.3	0	23.1	2	0
27.3	0	23.6	2	0
21	0	22.8	1	0
23	0	58.2	9	1
20.4	0	39.1	6	0
20.9	0	15.7	1	0
26	0	43.1	9	0
21.2	0	25.7	9	0
21.4	0	23.4	1	0
25.6	0	37.5	2	0
26.6	0	44.8	9	0
27.1	0	31.9	2	0
27.8	0	62.3	4	1
29.8	0	43.9	1	1
26.8	0	96.8	12	1
21.6	0	35.8	12	0
26.3	0	47.7	12	0
