A	DA	B	DB	R
20	0	20.9	1	0
20.3	0	29.6	9	1
29.7	0	43.4	12	0
26.2	0	24.8	4	0
28.7	0	30.6	6	0
28.4	0	26.6	1	0
29	0	33.2	1	0
24.2	0	34.8	1	1
27.7	0	49.3	6	1
23.9	0	30.9	6	0
26.5	0	28	1	0
29.7	0	35.2	9	0
23.1	0	31.4	12	1
25.1	0	56.9	9	1
24.5	0	26.9	2	0
21.2	0	22.3	1	0
20.6	0	26.9	6	0
25	0	26.1	6	0
24.7	0	37.6	9	1
27.5	0	33.2	4	1
24.2	0	23.5	4	0
24.4	0	25.6	1	0
20.2	0	27.2	2	1
28.1	0	26.7	2	0
24.7	0	35	4	1
20.5	0	21.6	4	0
20.8	0	27	6	1
21.2	0	25.2	4	0
23.9	0	28.6	4	1
28.5	0	28.1	2	0
22.6	0	24.2	4	0
22.1	0	31.6	9	1
28.5	0	50.3	12	1
26.3	0	39.7	4	1
29.5	0	55.3	12	1
23.7	0	34.1	12	1
27.9	0	29.5	2	0
25.7	0	35.6	6	1
20.4	0	21.7	2	0
21.2	0	33.5	12	0
24.4	0	25.4	1	0
27.4	0	24.4	2	0
22.6	0	29.7	2	1
25.1	0	42.2	9	1
27.4	0	41.9	12	1
20.9	0	30	6	1
25.5	0	33	4	1
26.8	0	33.9	4	1
29.9	0	43.3	9	1
24.3	0	34	12	1
26.5	0	28.1	2	0
23.9	0	22.9	1	0
28.8	0	36.7	9	1
20.2	0	23	2	0
25.5	0	31.9	9	0
25.2	0	26.6	6	0
29	0	30.8	2	0
27.4	0	33.7	12	0
20.5	0	22.4	6	0
