A	DA	B	DB	R
24.2	0	33.4	9	0
21	0	22.2	6	0
25.1	0	37.6	4	1
23.1	0	28.5	4	0
20.7	0	25.6	6	0
23.3	0	33	4	0
25.7	0	60.6	9	0
27.7	0	87.4	6	1
26.1	0	48.6	12	0
25.4	0	34.1	4	0
21.6	0	34.4	2	0
21.1	0	46.7	1	1
21.9	0	81.9	6	1
27.2	0	52.1	12	0
22.4	0	26.4	2	0
27.7	0	27.6	4	0
26.6	0	49.6	9	0
27.9	0	52.8	4	0
23.1	0	48.1	12	0
27.4	0	30.2	1	0
25.4	0	34.3	12	0
22.8	0	27.7	2	0
25.2	0	57.3	12	0
29.4	0	58.6	9	0
22.1	0	27.8	6	0
23.1	0	24.4	1	0
24.3	0	30.4	4	0
20.1	0	21.6	1	0
27.2	0	43.6	4	0
26.3	0	28	1	0
25.7	0	45.7	12	0
25.9	0	26.2	6	0
20.9	0	47.7	6	1
22.2	0	29.8	9	0
21	0	20.2	1	0
24.9	0	30.6	4	0
20.7	0	38.6	9	0
