A	DA	B	DB	R
22.1	0	33.1	12	0
29.3	0	71.4	12	1
20.5	0	22.8	2	0
28.8	0	50.1	12	1
21.7	0	21.2	4	0
21.6	0	34.6	12	1
27	0	28.2	1	0
27.4	0	37.2	2	1
21.2	0	29.6	9	0
27.8	0	33.2	4	1
25	0	38.5	12	0
20.5	0	29.4	9	1
26.2	0	31.6	1	1
25.1	0	26.3	1	1
29.5	0	37.5	6	1
29.8	0	36.2	2	1
22.4	0	33.8	4	1
22.4	0	33.4	12	1
21.7	0	29.6	12	1
29.6	0	34.1	6	0
25.6	0	25.7	6	0
25	0	23.7	2	0
27.9	0	31.3	1	1
28.5	0	28.5	2	0
28.5	0	40.3	12	0
24.9	0	30	2	1
25.2	0	26.1	1	0
25.6	0	26.5	1	1
22.7	0	23.5	1	0
22.3	0	36.2	12	1
24.6	0	26.3	2	0
21.9	0	25	4	0
