A	DA	B	DB	R
26.4	0	39.6	12	1
26.3	0	29.7	4	0
28.4	0	41.1	12	1
29.4	0	25.2	1	0
24.8	0	32.2	9	1
26.1	0	37.7	6	1
20.5	0	21.1	1	0
26.1	0	33.1	9	1
22.5	0	26.6	1	0
29.2	0	56.5	6	1
28.1	0	40.4	1	1
23.1	0	23.8	1	0
29.3	0	28.4	9	0
26.5	0	27.3	1	0
22.9	0	29.7	1	1
28.7	0	30.3	2	0
24.8	0	33.2	12	1
29.2	0	36	9	1
29.1	0	40.8	6	1
28.7	0	36.6	12	1
21.2	0	23	4	0
29.4	0	33.3	6	1
29.3	0	31.5	12	0
28.1	0	30.5	4	0
24	0	28.6	2	1
28.6	0	29.8	2	0
23.1	0	29.6	6	1
23	0	28.9	6	1
21.7	0	22.2	1	0
24.4	0	26.6	9	0
26.7	0	27.9	2	0
26.8	0	28	2	0
24.4	0	23.2	1	0
27.5	0	32.2	12	1
23.9	0	27.4	4	1
26.1	0	53.8	4	1
20.1	0	17.9	9	0
27.7	0	34.7	9	1
29.7	0	30.4	1	0
29	0	38.2	12	1
21.2	0	23.2	4	0
23.3	0	24.6	2	0
29.4	0	36.8	9	1
21.7	0	18.4	4	0
26.6	0	30.5	6	0
23.8	0	31.4	12	1
29.7	0	30.5	1	0
21.6	0	31.8	4	1
23.7	0	24.8	2	0
26.3	0	24.1	4	0
26.1	0	28.2	12	0
20.5	0	24.6	2	1
23.3	0	25.5	4	0
29.6	0	34	12	1
25	0	26.2	12	0
29.6	0	40.2	6	1
27.4	0	31.9	1	1
24.7	0	28.1	1	0
29.2	0	43.7	9	1
27.1	0	36.3	6	1
26.9	0	32	2	1
26.5	0	30.3	1	1
20.9	0	20.5	4	0
25	0	27	4	0
28.7	0	27.4	2	0
22.4	0	21.5	2	0
20.3	0	25	6	1
29.5	0	28.6	2	0
20.9	0	22.9	9	0
20.3	0	20.7	1	0
23.1	0	29.5	9	1
