A	DA	B	DB	R
21.6	0	29.6	2	0
20.9	0	50.6	2	0
29.7	0	19.5	6	0
25.1	0	26.3	1	0
24.5	0	31.4	6	0
23.3	0	33.4	9	0
24.9	0	-524.5	12	1
21.5	0	26.1	4	0
28.2	0	19.9	4	0
22.1	0	445.9	12	1
20.9	0	53.6	2	1
23.9	0	29.6	4	0
28.9	0	50.3	12	0
24.3	0	26.1	1	0
27.7	0	46	9	0
30	0	32.6	1	0
20.2	0	18.4	2	0
21.1	0	23.1	1	0
26.9	0	29.5	1	0
28.9	0	37.4	1	0
20.7	0	70.6	6	0
20.9	0	27.1	4	0
21.1	0	35.4	9	0
22	0	62.4	2	1
28.8	0	33.8	2	0
29.4	0	212.7	9	1
21.4	0	24.7	12	0
28.6	0	91.8	6	0
27.6	0	338.6	9	1
26.9	0	41.2	6	0
28.6	0	27	6	0
22.3	0	26.6	12	0
25.2	0	200	12	0
23.4	0	688.6	12	1
22.8	0	49.1	12	0
25	0	22.8	4	0
23	0	26.5	9	0
25.5	0	36.5	4	0
21.6	0	26.3	2	0
25.7	0	51	9	0
20.1	0	27.5	2	0
25.4	0	18	2	0
27.8	0	80.9	6	0
28.9	0	22	12	0
23.1	0	25.5	2	0
26.4	0	38.2	9	0
21.2	0	31.4	9	0
26.1	0	39.6	9	0
21.9	0	38	12	0
24.4	0	66.6	2	0
29.7	0	21.6	9	0
20.7	0	23.4	2	0
22.1	0	16.9	9	0
25.1	0	32	4	0
21.4	0	27.6	4	0
29.3	0	42.4	6	0
26.1	0	20.2	4	0
24.6	0	23.3	9	0
28	0	117	6	1
27	0	54.8	12	0
27.4	0	54.3	2	0
23.3	0	21.1	9	0
21.8	0	60	2	0
20.1	0	29.9	6	0
21.1	0	28.3	4	0
22.7	0	70.9	1	1
26.2	0	148	4	1
29.5	0	53	9	0
29.1	0	21.6	2	0
29.7	0	46.7	6	0
23.4	0	50.7	1	1
26.6	0	25.6	6	0
22.9	0	25.3	1	0
21.5	0	40.2	1	1
20.4	0	33.3	6	0
26	0	31.6	2	0
20.3	0	29.2	4	0
