A	DA	B	DB	R
23.1	0	34.6	12	0
26.1	0	23.9	2	0
28.9	0	36	1	1
27	0	25.8	1	0
26.1	0	25.8	1	0
24.8	0	26.4	2	0
27.7	0	43.3	9	1
26.8	0	28	1	0
29.3	0	46.6	4	1
22.6	0	27.2	9	0
22.2	0	44.6	12	1
20.6	0	30.3	6	0
29.3	0	27.2	2	0
23.3	0	40.6	12	0
23.5	0	27	2	1
27.8	0	25.5	1	0
21.2	0	24.1	2	0
26.4	0	37.8	6	1
26	0	36	6	1
23.6	0	25	1	0
25	0	58.9	12	1
26.9	0	36.3	6	1
21.2	0	30.9	9	0
20.7	0	27.7	2	1
21.1	0	28.3	6	0
24.3	0	25.8	1	0
24.7	0	33.9	6	1
24.5	0	25.9	1	1
29	0	35.6	4	1
23.7	0	28.8	4	0
26.2	0	42.1	6	1
25.1	0	37.8	9	1
25.8	0	37.9	9	1
24.4	0	34.9	9	1
20.4	0	22.2	2	1
23.6	0	34.4	4	1
23.9	0	29.4	1	1
25.5	0	35.5	9	1
29.5	0	30.7	1	0
28.6	0	29.8	1	0
28.7	0	39.3	9	1
21	0	21.8	1	0
29	0	31.3	2	1
22.6	0	23.5	1	0
22.3	0	25.7	4	0
29.6	0	26.8	1	0
26.7	0	25.4	2	0
27	0	34.5	12	0
26.5	0	35.3	4	1
27.6	0	39.4	6	1
26	0	36	9	1
24.2	0	35.8	12	0
