A	DA	B	DB	R
25.9	0	42.7	6	1
26.6	0	28.9	2	0
28	0	31	2	0
23.7	0	30.1	9	0
20.4	0	32	9	0
22.7	0	37.7	9	0
23.9	0	47.4	12	1
25.6	0	49.1	9	1
26.3	0	30.1	1	1
29.1	0	60.8	12	1
21.1	0	26.2	6	0
22	0	35.7	6	0
21.5	0	31.3	9	0
28.4	0	65.7	4	1
23.6	0	25.1	1	0
22.2	0	30.5	6	0
28.8	0	24.4	1	0
26.9	0	46.6	4	1
20.8	0	39.2	12	0
28.7	0	33.6	2	0
26.7	0	33.2	1	0
29.8	0	32.2	1	0
27.6	0	109.2	12	1
24.7	0	48.6	12	0
28.7	0	26.4	1	0
27.5	0	30.2	1	0
23.7	0	51.3	12	1
24.1	0	36.9	6	1
24.1	0	63.2	9	1
29.8	0	27.3	1	0
26.4	0	33	6	0
22.8	0	30.9	4	0
21.2	0	34	4	1
22.8	0	22.7	1	0
