A	DA	B	DB	R
27.7	0	41.5	12	0
27.4	0	29	1	1
23.5	0	20.4	1	0
24.3	0	35.1	9	0
28.3	0	27.3	2	0
20.5	0	22.9	2	0
23.9	0	33.1	6	0
26.6	0	40.1	12	1
21.9	0	36.3	12	0
29.7	0	37.2	4	0
26	0	39.2	1	1
22.2	0	31.1	1	1
20.5	0	18.5	1	0
26.1	0	35.7	2	1
25.5	0	28.7	4	0
28	0	63.8	12	0
28.9	0	40.9	9	0
21.1	0	34	4	1
26	0	35.4	4	0
26.3	0	69.9	12	1
20.7	0	22.7	1	1
24.1	0	43.8	9	0
29.3	0	30.6	1	1
27.4	0	29.4	2	0
29.8	0	26.2	2	0
23.5	0	24.5	1	1
27.2	0	36.9	9	0
23.2	0	31.1	2	1
21.6	0	23.6	2	1
26.1	0	27.2	1	1
20.1	0	23.4	4	0
23.2	0	32.6	9	0
21.1	0	22.2	1	1
23.3	0	33.5	9	0
27.7	0	36.8	6	1
24.4	0	25.7	1	1
24.8	0	29.4	9	0
29.4	0	33.4	6	0
28.4	0	33.4	6	0
