A	DA	B	DB	R
26.7	0	36.8	9	0
28	0	41.8	9	1
29.3	0	37.2	6	1
20.4	0	16.9	1	0
22.8	0	26.5	4	0
22.5	0	26.4	4	0
27.5	0	48.2	9	1
21.2	0	34.5	9	0
29	0	26.7	6	0
21.1	0	47.9	9	1
27.6	0	37.1	1	1
26.7	0	32	4	0
28.1	0	39	2	0
20.5	0	30	9	0
22.6	0	25.2	2	0
21.1	0	32.1	9	0
29	0	36.5	4	0
25.8	0	24	4	0
26.1	0	47.5	12	1
25.9	0	32.6	4	0
23.9	0	52	6	1
25.8	0	30.5	9	0
22.3	0	37.5	4	1
26.7	0	37.4	12	0
20.7	0	19.3	1	0
20.7	0	38.4	12	1
23.2	0	39.5	6	1
25.2	0	34.1	9	0
26.8	0	31.3	12	0
23.9	0	25.7	6	0
28.4	0	38.1	4	1
24.9	0	27	2	0
28.4	0	33.8	6	0
26.7	0	38.5	6	1
20.9	0	23.1	2	0
20.1	0	27.1	6	0
