A	DA	B	DB	R
21.5	0	25.3	4	0
28.6	0	38.4	1	1
21.6	0	27.1	1	1
21.8	0	24.4	2	0
21.4	0	22.9	1	0
21.8	0	21.4	1	0
23.5	0	40.5	12	1
29.1	0	44.5	4	1
24.4	0	32.4	12	1
28.5	0	29.6	1	0
26.4	0	44.3	4	1
21.6	0	23.7	12	0
25.2	0	27.3	9	0
23.5	0	29.3	1	1
24.8	0	28.8	9	0
24.3	0	23.6	2	0
27.6	0	44.9	9	1
29.1	0	40.9	6	1
21.4	0	22.3	1	0
25.2	0	29.8	2	1
22.3	0	25	1	1
25.8	0	26.3	2	0
23.6	0	32.9	9	1
21.8	0	23.4	2	0
21.5	0	22.3	1	0
24.6	0	32.8	6	1
24.1	0	34.6	12	1
24.3	0	31.3	9	1
29.1	0	37.1	6	1
21.2	0	24.8	6	1
21	0	24.1	9	1
22.6	0	27	4	1
26.6	0	33	6	1
29.9	0	34	6	0
25.8	0	25.3	2	0
28.9	0	33.1	6	0
24.3	0	21.2	1	0
26.4	0	31	4	1
26.7	0	30.2	4	1
23.5	0	21.7	1	0
24.9	0	27.8	1	1
27.8	0	36.3	12	1
21	0	23.7	6	0
20.2	0	22.2	4	0
20.3	0	22.3	1	0
24.4	0	24.2	9	0
23.9	0	26.1	12	0
21.9	0	26.1	6	1
26.1	0	29.1	4	1
24.1	0	27.9	6	1
27.6	0	30.4	4	1
28.6	0	36.8	12	1
29.5	0	32.3	9	1
20.4	0	25.6	2	1
23.2	0	21.3	2	0
20.7	0	21.8	9	1
23.3	0	28.9	12	1
24.3	0	25	12	0
26	0	26.5	1	0
25	0	26.2	12	0
29.8	0	33.1	6	1
25.6	0	26.4	9	1
23.8	0	24.7	2	1
29.4	0	29.8	12	0
25.3	0	26.2	2	0
23	0	20.8	2	0
27.3	0	29.2	4	0
24.2	0	31.2	6	1
22.4	0	25.5	1	1
22.2	0	29.9	12	1
