A	DA	B	DB	R
28.1	0	30.6	2	0
24.7	0	39.7	4	1
25.8	0	27.2	1	0
20.5	0	25.6	4	0
25	0	26.9	1	0
29.2	0	70.4	12	1
22.1	0	25.7	2	0
29	0	46.6	9	1
28.5	0	68.5	9	1
28.2	0	47.2	12	0
20.1	0	36.2	12	0
26	0	44	9	1
25	0	22.5	1	0
23.6	0	29.9	4	0
24.2	0	23.2	1	0
27.8	0	32.7	1	0
22.4	0	28.5	4	0
24.4	0	26.2	1	0
26.9	0	35	4	1
24.8	0	40	9	1
27.4	0	29.1	1	0
21.8	0	21.5	4	0
20.6	0	33.6	4	1
25.7	0	36	6	1
27.6	0	31.1	2	0
23.3	0	36.5	4	1
25.1	0	37.9	4	1
21.7	0	32.2	12	0
28.3	0	44.1	12	1
26.3	0	40.1	9	1
29.2	0	40.4	2	1
26.9	0	44.4	12	1
20.8	0	22.1	6	0
26.4	0	49.6	9	1
20.8	0	43	12	1
20.5	0	19.9	2	0
27.5	0	34.7	9	1
23	0	36.6	6	1
25.6	0	35.9	9	1
23.9	0	27	9	0
30	0	28.3	2	0
24.7	0	42.3	9	1
29.7	0	41.3	9	0
20.1	0	25.3	2	1
20.3	0	25.3	2	1
26.1	0	27.5	4	0
23.5	0	28.9	2	1
22.6	0	26.5	4	0
23.6	0	20.6	1	0
24.1	0	32.2	6	1
22	0	27	12	0
20.8	0	24.7	4	0
29.9	0	37.6	2	1
29.6	0	43.1	9	1
21	0	32.6	12	1
20.7	0	22.4	2	0
22.1	0	25.9	4	0
28.7	0	30.6	4	0
