A	DA	B	DB	R
23.3	0	34.9	12	0
23.6	0	57.5	12	1
22.1	0	23.4	1	0
24.3	0	22.4	1	0
24.4	0	31.3	2	1
24.9	0	28.2	2	0
22.9	0	24.7	1	0
29.6	0	58.5	12	0
25.3	0	46.4	9	0
21.8	0	35.9	6	1
27.3	0	33.3	1	0
22.6	0	26.5	4	0
22.1	0	95.9	12	1
23.5	0	18.5	2	0
28.8	0	37.1	6	0
21.7	0	24.1	2	0
27.6	0	40.2	1	0
21.9	0	15.6	2	0
28.1	0	61.3	2	1
25.9	0	41.7	12	0
24.4	0	33	6	0
28.4	0	44.6	9	0
22.8	0	19.6	2	0
28.1	0	32.4	2	0
30	0	40.1	12	0
26.7	0	31.2	2	0
26.1	0	30.8	2	0
27.1	0	49.2	9	0
24.9	0	46.6	9	1
25.8	0	38.7	2	1
28.4	0	57.3	6	0
29.4	0	40.2	4	0
28	0	30.7	1	0
29.3	0	54.7	9	0
29.2	0	26.4	1	0
23.6	0	28.6	2	1
27.2	0	37.2	1	1
22.3	0	48	6	0
29.7	0	65.9	12	0
26.2	0	29	1	0
23.7	0	29.5	6	0
