A	DA	B	DB	R
28.2	0	35.5	6	0
24.1	0	26.8	2	0
21.9	0	47.8	9	1
24.5	0	56.3	12	1
24.8	0	23.7	1	0
22.2	0	23.7	1	0
28.3	0	46.3	9	1
26	0	39.2	9	1
28.5	0	33.7	4	0
29.9	0	27.6	1	0
25.7	0	35.6	12	1
25.7	0	24.8	6	0
26.7	0	31	4	0
20.2	0	30.6	12	1
22.3	0	29.8	9	1
25.6	0	21.9	1	0
21.5	0	28.2	2	1
26.7	0	39	6	1
23.2	0	25.8	9	0
23.7	0	28.5	6	0
21.4	0	28.1	4	0
24.3	0	31.8	2	0
25.3	0	35.7	1	1
23.6	0	22.9	6	0
22.6	0	21.4	4	0
22.6	0	28.8	1	1
26	0	32.4	6	0
22.2	0	28	6	0
23.3	0	21.8	2	0
24.6	0	25.8	1	0
29.7	0	35.3	9	0
25.9	0	31	4	0
28.4	0	37.2	6	1
23.3	0	46.2	12	1
29.8	0	38.2	6	1
22.9	0	32.1	9	1
26.8	0	39.5	6	1
24.9	0	25.9	1	0
28	0	30.4	2	0
26.8	0	31.6	1	1
25.7	0	30.1	4	0
23.9	0	23.4	2	0
25.2	0	34.8	9	1
28.3	0	27.8	6	0
22.8	0	22.4	4	0
21.7	0	25.7	2	1
24.6	0	31.5	6	1
20.9	0	23.3	6	0
26.3	0	29.5	4	0
