A	DA	B	DB	R
20.1	0	27.5	2	0
28.4	0	36.1	6	0
29.4	0	24.6	9	0
29.7	0	43.3	9	0
21.9	0	24.5	2	0
23.7	0	21.4	6	0
26.4	0	66	6	1
29.2	0	33.2	2	0
25.9	0	27.6	6	0
29	0	50.5	4	1
24.3	0	46	6	1
25.3	0	39.8	4	0
25.4	0	57.9	6	0
28.7	0	32.9	2	0
20.4	0	22	1	0
24.4	0	19.9	2	0
22.4	0	43.7	12	1
25.8	0	42.1	9	0
23.4	0	25.3	1	0
26.5	0	139.1	12	1
25.1	0	113	12	0
21.5	0	123.5	9	0
22.8	0	29.4	4	0
20.4	0	22	1	0
22.2	0	37.1	9	0
29.9	0	188.8	6	1
25.3	0	66	2	1
21.6	0	92	6	0
29.1	0	38.3	4	0
29.9	0	44.4	6	0
26.9	0	29.3	1	0
24.4	0	26.6	1	0
25.6	0	45.3	9	0
22.9	0	23.6	12	0
23.7	0	81.7	4	1
25.5	0	54.8	12	0
29.6	0	35.7	2	0
24.1	0	46.2	9	0
22.5	0	50.6	12	0
24.3	0	21.3	2	0
24.6	0	57	12	0
22.2	0	33.3	12	0
21.7	0	35	4	0
23.1	0	15.9	1	0
20.4	0	15.2	2	0
23.1	0	79.9	9	0
28.8	0	30.5	1	0
20.7	0	277.5	9	1
29.4	0	111.2	4	1
29.6	0	20.5	1	0
23.3	0	66.2	4	0
22.6	0	27.7	4	0
21.2	0	26.3	4	0
24.6	0	42.2	12	0
24.6	0	18.3	4	0
21.7	0	80.7	4	1
23.9	0	38.9	9	0
22.9	0	17.6	2	0
21.2	0	58.2	4	0
23.9	0	39.5	9	0
25.5	0	27.6	1	0
24	0	16.9	1	0
27.1	0	53.3	12	0
25.2	0	34.1	4	0
21.4	0	38.7	9	0
28.1	0	52.8	1	1
24.9	0	43.8	1	0
26.6	0	19.1	1	0
23.6	0	36.6	6	0
29.1	0	549	12	1
24.2	0	23.7	6	0
22.1	0	35.4	6	0
26.7	0	54.4	2	0
21.5	0	75.8	4	0
27.1	0	49.3	9	0
22.6	0	27	2	0
27.9	0	59.6	12	0
23.3	0	37.1	6	0
29.4	0	55.9	9	0
24.6	0	68.9	2	1
28.2	0	31.2	1	0
28.3	0	55	9	0
21.2	0	25.8	2	0
20.9	0	42.6	1	0
24.9	0	20.3	4	0
29.5	0	29.6	9	0
24.1	0	53.2	1	1
20.6	0	243.3	9	1
23.8	0	18.3	1	0
