A	DA	B	DB	R
28	0	36.4	1	1
27	0	50.8	12	1
24.9	0	26.8	2	0
22.9	0	24	1	1
24.1	0	28.1	4	0
21.3	0	23.3	2	1
20.6	0	33.6	9	1
27.8	0	35.7	4	1
24.7	0	25.3	2	1
21.1	0	25.6	6	1
25.8	0	37.2	4	1
21.7	0	23	9	1
20.4	0	33.3	4	1
28.8	0	50.8	9	1
29	0	32	4	1
29.1	0	35.4	9	1
23.2	0	25.3	4	1
29.6	0	39.9	4	1
28.3	0	26.3	4	0
25.3	0	30.5	2	1
27.3	0	27.8	1	0
26.5	0	32.8	12	1
27.9	0	28.4	1	1
20.5	0	23.5	1	0
25.5	0	30	9	1
21.6	0	27.9	4	1
27	0	32.9	12	1
27.6	0	28.1	1	1
27	0	27.2	9	0
29.7	0	34.3	9	0
20.6	0	19.5	4	0
24.2	0	33.8	12	0
24.7	0	25.7	2	1
22.1	0	27.3	12	0
20.3	0	24.1	9	0
20.9	0	20	6	0
28.9	0	28	6	0
21.6	0	22.6	2	1
26.4	0	31.3	1	1
24.1	0	31.6	6	1
28.3	0	30.7	4	0
20.5	0	23.1	6	1
25.7	0	23.5	1	0
23.4	0	21.5	1	0
26.4	0	27.5	2	1
30	0	34.8	2	1
26.3	0	31	9	0
24	0	24.4	6	0
25.3	0	28.5	6	0
28.4	0	29.1	6	0
21.6	0	24.3	1	1
29.4	0	35.1	9	1
27.9	0	42.1	4	1
23.9	0	40.4	9	1
24.8	0	25.5	4	1
24.2	0	25.9	2	1
20.5	0	19.9	12	0
21.1	0	39.5	9	1
24.7	0	21.6	2	0
29.6	0	30.5	1	0
28.8	0	34.1	6	0
21.5	0	19.2	2	0
29	0	35.7	1	0
27.7	0	22.7	2	0
28	0	26.2	6	0
23.9	0	24.8	1	1
22.9	0	24.6	2	1
26.1	0	34.3	9	1
22.3	0	29	1	1
28.6	0	32.2	4	1
27.9	0	28.7	1	1
20.6	0	22.9	4	0
23.3	0	34.5	6	1
26.1	0	32.8	2	1
21.6	0	28.8	12	0
20.5	0	24.4	6	0
21.6	0	25.4	12	0
23.4	0	26.6	4	0
26.3	0	37.6	12	0
25.1	0	31.1	6	0
26.2	0	40.1	6	1
26.5	0	27.6	1	1
27.9	0	46.1	9	1
24.7	0	39.7	9	1
28.2	0	34.3	2	1
29.7	0	39.8	9	0
21.3	0	31.5	12	0
