A	DA	B	DB	R
20.9	0	28.6	2	0
23.7	0	68.8	4	1
27.8	0	35.3	6	0
24	0	17.8	2	0
23.4	0	45	2	1
27.5	0	44.3	12	0
26.2	0	23.8	4	0
27.9	0	23.5	1	0
23.7	0	42	12	0
26	0	24.8	2	0
25.5	0	48	6	1
25.4	0	33.5	4	0
20.2	0	25.1	1	1
23.1	0	49.6	9	1
26	0	30.9	1	1
29.3	0	47.3	9	1
26.4	0	35.6	2	1
20.1	0	25.9	4	0
23.4	0	25.2	1	0
20.4	0	42.1	9	1
27.8	0	36.6	4	1
23	0	29.6	4	0
23.1	0	33.4	9	0
22.7	0	22.6	1	0
27.6	0	30.2	9	0
22.5	0	26.2	9	0
23.4	0	29.9	6	0
20.9	0	26.1	4	0
29	0	53.9	12	1
30	0	38.6	9	0
27.8	0	48.5	12	1
29	0	32.2	2	0
25.6	0	28.6	2	0
21.8	0	24.4	2	0
24.7	0	30.9	4	1
23.2	0	28.7	4	1
26.6	0	39.7	9	1
22.5	0	29.2	6	1
27.2	0	38.4	9	1
25.6	0	29.2	12	0
22.8	0	28.9	1	1
23	0	25	2	0
25.5	0	35.6	9	1
20.5	0	25.1	12	0
29.5	0	44.3	12	1
20.7	0	22.3	2	0
24	0	24.4	4	0
23.4	0	33.5	6	1
29.1	0	37.8	4	1
