A	DA	B	DB	R
20.2	0	37.6	9	0
24.2	0	25.6	1	0
22.1	0	34.4	9	0
24.6	0	51.6	4	1
27.9	0	47.5	9	0
21.3	0	43.1	6	0
24.9	0	81.7	4	1
26.9	0	134.3	9	1
21.8	0	38.1	1	0
27.3	0	33.5	4	0
25.4	0	74.7	1	1
20.1	0	59.7	2	1
23.1	0	163.5	9	1
26.3	0	54.2	1	1
25.4	0	26.5	12	0
29	0	53.9	12	0
27.8	0	95.9	9	1
20.5	0	27.4	12	0
23.7	0	36.7	6	0
22.1	0	28.4	6	0
23.9	0	47.6	6	0
21.9	0	41.1	9	0
28.4	0	31.4	1	0
27.2	0	38.8	4	0
20.2	0	30.3	9	0
29.4	0	61.4	12	0
25	0	33.6	6	0
23.7	0	25.4	1	0
21	0	30.5	6	0
20.7	0	28	4	0
23.2	0	34.8	9	0
26.3	0	41.6	4	0
27.5	0	37	4	0
22.2	0	46.5	12	0
22.3	0	26.9	2	0
26.2	0	59.6	12	0
24.3	0	33.8	2	0
29.9	0	25.6	2	0
23.8	0	26.3	1	0
22.4	0	33.4	12	0
28.9	0	33.9	4	0
29.7	0	43.4	4	0
