A	DA	B	DB	R
26.2	0	54.7	12	1
20.3	0	21.1	1	0
22.7	0	32.6	4	1
22	0	21.7	2	0
26	0	40.9	12	1
23.8	0	27.1	1	0
24.9	0	50.6	9	0
21.8	0	16.3	4	0
21.5	0	41.2	1	1
25.6	0	30.1	4	0
24.8	0	21.3	6	0
20.7	0	21.7	1	0
24.3	0	18.9	1	0
23.5	0	23.8	9	0
27.6	0	33.4	4	0
25.9	0	21.7	1	0
24.1	0	27	2	0
28	0	38.4	6	1
21.8	0	26.6	4	0
26.3	0	35.6	6	0
25.7	0	40.5	9	0
28.5	0	52.3	12	0
20.7	0	28.1	1	1
24.5	0	22.4	1	0
23.9	0	54.7	9	0
22.3	0	29.9	4	0
26.5	0	72.2	9	1
20.4	0	22.4	4	0
21	0	52.9	9	0
29.8	0	55.1	9	0
20	0	57.9	9	1
25.3	0	40.4	6	0
28.3	0	98.6	12	0
28.8	0	64.3	12	0
24	0	57.7	6	0
27.1	0	41.6	1	1
25.6	0	28.4	1	0
23.5	0	34.7	1	1
29.3	0	36.9	6	0
27.6	0	33.8	4	0
23.5	0	32.6	6	1
22.1	0	48.2	9	1
29.4	0	43.3	9	0
24.3	0	35.5	4	0
25.9	0	21.7	4	0
28.2	0	23.3	2	0
21.4	0	24.1	2	0
20.6	0	23.4	2	0
27	0	30.9	2	1
29	0	55.9	4	1
29.9	0	31.9	1	0
22.9	0	32.3	1	1
23.8	0	21.2	1	0
22.8	0	32.4	6	1
25.2	0	22.8	1	0
24.5	0	34.6	12	0
22.9	0	29.8	2	1
28.2	0	40.6	4	1
22.2	0	30.9	6	1
23.3	0	35.3	12	0
