A	DA	B	DB	R
26.4	0	27.6	1	0
23.8	0	24.7	6	0
21.7	0	22.9	1	0
29	0	48.8	6	1
26.2	0	35.8	6	0
21.7	0	40.3	12	1
26.8	0	33.3	4	0
20.4	0	24.9	2	0
25.5	0	43.2	12	1
26.2	0	79.7	9	1
23.2	0	24.4	1	0
20.1	0	29	9	0
21	0	53.7	9	1
29.7	0	44.5	9	1
22.7	0	35.6	12	0
20.1	0	18.7	4	0
25.1	0	27.9	2	0
26.2	0	29.3	2	0
27.5	0	24.2	1	0
28.5	0	27.2	2	0
26.9	0	40.4	4	1
25.7	0	30.6	6	0
28.3	0	35.8	2	0
20.4	0	31.9	4	0
22.7	0	24.3	6	0
21.2	0	22.8	1	0
21.3	0	36.7	4	1
21.9	0	36.2	9	0
23.8	0	21.9	1	0
20.7	0	24.1	2	0
20.2	0	27	4	0
28.8	0	43.9	6	1
26.1	0	39	6	1
26	0	48.8	6	1
28.2	0	38.7	9	0
20.6	0	19.7	1	0
20.5	0	22.2	1	0
28.7	0	36.6	6	0
28.8	0	43.2	12	1
28.6	0	52.7	12	1
26.5	0	27.3	1	0
26	0	36.3	12	0
29.2	0	39.3	9	0
20.1	0	21.8	2	0
25.5	0	23.3	2	0
28.1	0	39.4	9	0
23	0	36.8	12	0
29.4	0	56.3	9	1
24.3	0	28.3	6	0
28.8	0	55.4	12	1
