A	DA	B	DB	R
25.5	0	38.4	4	0
22.6	0	29.1	6	0
21.2	0	15	1	0
28.1	0	57.4	2	1
26.9	0	30.2	2	0
22	0	30.6	6	0
28.9	0	42	6	1
25.2	0	38.4	9	0
22	0	38.3	2	0
25	0	16.7	1	0
21.2	0	14.7	1	0
26	0	32.4	4	0
28.2	0	49.6	12	0
22.4	0	32	6	0
25.6	0	24.8	6	0
21.7	0	22.5	6	0
27.9	0	42.3	6	1
23	0	88.8	12	1
29.7	0	30.2	4	0
25.7	0	44.5	9	1
24	0	40.2	9	1
25.8	0	36.8	6	0
20.1	0	28.3	2	0
28	0	98.3	9	1
26.1	0	28.1	1	0
29.1	0	24	1	0
29.5	0	31.6	6	0
28.1	0	32.8	2	0
20.8	0	33.1	2	0
29.8	0	32.3	1	0
27.4	0	34.2	12	1
27.3	0	38.9	6	0
23.8	0	25.6	1	0
20.8	0	19	6	0
24.8	0	26	9	0
20.6	0	84.7	9	1
25.8	0	58.7	4	1
27.8	0	37.1	4	0
24.8	0	21.9	2	0
25.1	0	33.7	12	0
23	0	41.9	9	1
20.1	0	27.3	12	0
24.7	0	96.9	12	0
27.4	0	37.7	4	0
20.6	0	28.6	4	0
28.5	0	76.1	6	1
22.6	0	38.1	2	1
24.5	0	27	1	0
24.9	0	22	1	0
21.9	0	53.7	6	0
20.4	0	33	6	0
26.2	0	25.2	4	0
24.4	0	22.3	1	0
20.3	0	22.8	6	0
23	0	32.6	6	1
22.1	0	27.5	6	0
21.4	0	25.8	4	0
21.9	0	27	4	0
28.4	0	49.7	12	1
22	0	29.5	6	0
