A	DA	B	DB	R
29.7	0	32.5	9	0
28.1	0	33.1	4	0
24.9	0	25.9	4	0
21.8	0	31.4	12	1
27.3	0	65.1	12	1
26.9	0	56.1	12	1
25.3	0	31.1	6	0
29.2	0	26	1	0
22.7	0	34.8	12	1
23	0	22.7	4	0
23	0	32.9	6	1
23.5	0	29.8	12	1
27	0	39.4	6	1
21.3	0	35.1	12	1
26.4	0	41.5	12	1
27	0	41	12	1
22.2	0	21.5	2	0
20.3	0	19.9	2	0
22.8	0	25.3	4	0
21.2	0	26.2	12	0
22.8	0	27.4	4	0
25.9	0	25.4	2	0
20.3	0	25	4	0
20.3	0	32.9	12	1
26.3	0	24.9	1	0
26.1	0	29.6	4	1
23	0	23.8	4	1
23.6	0	25	2	1
25.6	0	26.4	1	1
24.1	0	25.5	2	1
21.2	0	28.3	12	0
29.8	0	31.6	2	1
29.2	0	30.1	1	0
28.5	0	31.9	4	1
20.2	0	21.1	6	0
20.9	0	26.2	4	1
21	0	28.3	12	1
25.9	0	29.3	1	1
21.9	0	30.2	9	1
21	0	29	12	1
22.8	0	23.7	9	0
26	0	25.5	4	0
22.1	0	32.3	12	1
25.6	0	28.1	4	0
26.6	0	35.8	9	1
