A	DA	B	DB	R
21.5	0	27	6	1
23.7	0	26.9	4	0
28.5	0	40.3	2	1
22.2	0	29.9	9	1
24.6	0	28.3	12	0
25.5	0	30.8	6	1
30	0	41.8	6	1
26.5	0	31.1	2	1
22.7	0	25.4	4	1
21.7	0	24.7	9	0
29.7	0	33.4	2	1
22.4	0	24.1	1	1
29.3	0	32	2	1
22.3	0	28.3	12	1
26.4	0	23.9	2	0
23.1	0	28.8	12	1
24.5	0	46.1	9	1
24.2	0	30.1	9	1
27.7	0	28.3	9	0
26.4	0	32.5	4	1
29.6	0	36.1	6	1
23.1	0	24	2	0
21.7	0	25.1	12	1
22.4	0	26.5	9	1
23.3	0	23.7	1	0
25.9	0	23.5	1	0
24.6	0	23.4	2	1
24.5	0	21.9	6	0
24.1	0	20.6	1	0
23.5	0	25.4	4	1
23.3	0	28.2	2	1
24.6	0	34.3	12	1
26.9	0	28.7	4	1
21.4	0	24.5	9	1
