A	DA	B	DB	R
26.9	0	29.5	9	0
25.9	0	32.7	6	1
21.4	0	19.5	1	0
23.2	0	24	1	0
29.2	0	29.8	4	0
29.7	0	31.9	2	0
28.3	0	30.7	2	1
20.1	0	20.2	2	0
26.6	0	38.8	12	1
27.2	0	32.8	9	1
22.8	0	21.3	2	0
28.5	0	32.5	1	1
25.7	0	27.4	6	1
21	0	33.3	12	1
24.1	0	22.7	2	0
25.6	0	30.8	9	1
20.3	0	24	9	1
20.6	0	22.1	4	0
29.8	0	31	2	0
26.6	0	27.1	1	0
21.1	0	29.1	9	1
27.9	0	27.4	6	0
22.3	0	26	12	1
22	0	27.9	9	1
23	0	18.4	1	0
26.5	0	38.3	4	1
22.7	0	21	4	0
23.7	0	31.2	6	1
25.7	0	24	1	0
23.9	0	22.8	1	0
24.2	0	24.7	1	0
25.3	0	26.5	6	0
26.7	0	26.4	2	0
23.3	0	23.8	1	0
27.8	0	33.5	12	1
22.3	0	22.7	1	0
23.5	0	28.5	12	1
