A	DA	B	DB	R
23.9	0	32.7	2	0
29.7	0	37.8	6	0
22.2	0	28.9	6	0
26.6	0	21.7	6	0
24.9	0	41.5	12	1
29.7	0	46.6	12	0
23.8	0	18.8	4	0
28.2	0	125.4	12	1
28.9	0	38.4	6	0
21.7	0	82.4	12	1
23	0	61.8	9	0
24.5	0	27.6	2	0
25.5	0	57.3	2	0
23.5	0	24.9	1	0
21.2	0	28.6	6	0
27.6	0	18.5	2	0
26.8	0	33.8	4	0
24.4	0	137.9	6	1
26.7	0	47.9	12	0
22.6	0	37.4	9	0
29.4	0	31.8	1	0
27.6	0	36.6	4	0
28.9	0	43.7	6	0
27.2	0	32.2	2	0
24.7	0	38.5	6	0
28	0	23.1	1	0
28.9	0	26.7	2	0
22.9	0	25.3	1	0
29.4	0	26.5	1	1
27.6	0	32.9	2	0
21.1	0	29.4	4	0
26.5	0	57.9	12	0
28.7	0	31.7	1	0
29.9	0	53.9	2	0
28	0	33.5	2	1
20.6	0	15.3	1	0
28.5	0	61.5	12	0
29.2	0	24.4	2	0
28.9	0	37.2	12	0
22.4	0	36.9	6	0
22.9	0	19.4	1	0
28.8	0	31.4	2	0
20.1	0	32.5	4	0
27.8	0	70.7	2	1
28.9	0	41.8	9	0
21.9	0	27	4	0
29	0	36.4	4	0
25.4	0	20.1	1	0
23.6	0	39	9	0
23.8	0	27.9	2	0
20.6	0	22.2	4	0
25	0	29.8	2	0
28.3	0	48.3	4	0
23.8	0	28.2	2	0
22.7	0	60.1	6	0
25.1	0	42.6	9	0
27.9	0	92.5	4	0
23.5	0	18.1	9	0
28.2	0	41	6	0
24.1	0	153.5	4	0
25.9	0	37	6	0
21.2	0	12.5	1	0
26.6	0	20.1	9	0
28.1	0	-11297	6	0
25.6	0	17	6	0
24.8	0	-250.1	6	0
22.7	0	13	2	0
25.7	0	48.6	12	0
21.5	0	272.3	1	1
24	0	599.9	2	1
26.3	0	51.1	12	0
20.9	0	278.4	2	1
22	0	25.8	2	0
22.3	0	127.1	1	1
23.6	0	14.5	1	0
22	0	132.1	2	1
21.5	0	16.6	6	0
26.3	0	28.8	1	0
27	0	49.5	9	0
21.2	0	25.3	2	0
21.5	0	164.3	4	0
23	0	18.6	9	0
23.1	0	19.3	9	0
20.8	0	33	6	0
21	0	45.7	12	0
25.2	0	17.6	2	0
25.4	0	100.8	2	1
28.8	0	64.4	12	0
23.1	0	321	6	1
27.7	0	20.7	2	0
22.7	0	32.5	4	0
