A	DA	B	DB	R
28.9	0	106.4	9	1
22.1	0	36.1	6	0
23.7	0	45.5	2	1
29.6	0	36.5	1	0
20.7	0	79.8	6	1
25.5	0	63.7	4	1
25.1	0	50.6	4	0
20	0	63	6	0
26.3	0	59	4	1
28.5	0	61.1	4	0
22.5	0	35.6	4	0
29.4	0	111.2	9	1
22.4	0	35.9	2	1
23.6	0	26.2	1	0
29	0	154.7	9	1
21.8	0	28	1	0
26.9	0	132.7	9	1
21.2	0	33.4	2	0
23.4	0	34	2	0
30	0	111.1	9	1
20.3	0	91.3	12	1
24.4	0	74.9	6	1
24.2	0	59.2	12	1
22.1	0	29.3	9	0
27.2	0	41.6	2	0
23.8	0	54.5	4	0
27.8	0	38.8	1	1
27.9	0	37.7	1	0
22.2	0	19	1	0
27.3	0	47.6	2	1
30	0	-695.4	6	0
24.8	0	34.3	1	0
23.7	0	-474.8	2	0
26.4	0	-49.4	9	0
29.6	0	25.1	6	0
25	0	65	4	1
29.9	0	97.5	6	1
25.4	0	17.8	2	0
21.2	0	112.8	12	1
24.5	0	17.5	2	0
25.1	0	25.2	12	0
