A	DA	B	DB	R
27.5	0	41.5	4	1
22	0	33.3	6	0
20.9	0	47.4	6	1
21	0	59.9	12	1
23.2	0	20.5	1	0
20.9	0	26.7	9	0
25.7	0	47.8	12	1
24.5	0	39	12	0
23.5	0	26.4	2	0
25.3	0	39.3	4	1
21.9	0	38.8	12	0
24.1	0	55.4	12	1
21.7	0	35.7	9	1
25.5	0	32	4	1
26.2	0	34.2	2	1
21.3	0	32.5	9	0
29.1	0	36.5	4	1
20.5	0	24.7	6	0
27.4	0	28.6	1	0
22.5	0	27.2	4	0
28.4	0	37.4	12	0
21	0	29.3	6	0
23.6	0	34.6	6	0
20.4	0	36.4	9	1
30	0	56.6	12	1
24.9	0	38.3	2	1
21.9	0	24.1	6	0
27.8	0	49.9	12	1
25.5	0	27.2	6	0
22.7	0	45.7	9	1
28.6	0	33.3	6	1
23.7	0	54.4	9	1
20.9	0	27	6	1
20.1	0	48	12	1
20.9	0	24.5	4	0
21	0	22	1	0
25.8	0	36.2	2	1
26.5	0	39.7	4	1
24.8	0	30.9	1	1
22.8	0	27.1	4	0
28.1	0	34	1	1
28.4	0	38.6	12	0
29.9	0	33.1	2	0
28.7	0	38.3	6	0
24.6	0	49.2	12	1
25.4	0	28.5	4	0
