A	DA	B	DB	R
24.9	0	26	1	1
21.1	0	22.6	2	0
22	0	37.7	6	1
28.9	0	36.1	6	1
21	0	34.4	9	1
24.4	0	37	9	0
28.9	0	78.8	12	1
22.7	0	22.8	9	0
30	0	46.2	4	1
27.6	0	32	4	1
27.6	0	34.6	1	0
28.6	0	53.8	4	1
21	0	51.8	12	0
24	0	20.3	9	0
20.5	0	24	4	0
28.2	0	26.5	12	0
23.8	0	28.2	4	0
24.6	0	59.4	6	0
24.2	0	20.1	9	0
24.7	0	29.9	4	0
22.8	0	148.8	12	1
22.1	0	24.5	2	1
27.8	0	40.6	9	1
22.1	0	46.8	2	1
29.3	0	97.9	9	1
28.8	0	22.5	2	0
24.5	0	20.9	4	0
24.1	0	31.3	6	1
25.9	0	30.8	4	1
23.9	0	30.3	6	1
26.3	0	39.2	12	0
26.2	0	40.9	1	0
20.3	0	22.2	2	0
20.7	0	29.2	9	0
26.6	0	41.8	12	0
29.6	0	47.6	12	0
27.5	0	41	9	0
22.8	0	25.5	2	0
22.8	0	17.9	2	0
24.2	0	25.7	1	1
26.2	0	48.9	2	1
28.1	0	59.2	4	1
26.7	0	22.2	2	0
21.4	0	36.7	12	0
26.6	0	30.1	2	0
28.7	0	31.4	9	0
20.6	0	37	12	0
25.4	0	21.3	1	0
26.7	0	43.8	9	0
22	0	32.1	1	1
28.4	0	53.6	12	0
29	0	42.6	6	0
23.7	0	35.2	6	0
22	0	35	2	1
21.1	0	31.7	6	0
23	0	20.3	1	0
23.1	0	51.2	6	1
21.7	0	20.7	2	0
22.7	0	42.3	9	1
22.2	0	41.2	12	0
21.1	0	34.5	2	1
23.5	0	22.7	4	0
21.8	0	37.3	12	0
24.9	0	60	12	1
25.7	0	50.2	9	1
24.2	0	45.3	9	0
23.7	0	40	4	1
26.7	0	36.8	2	1
25.8	0	24.8	1	0
21.4	0	23.1	1	0
29.3	0	45.5	9	0
