A	DA	B	DB	R
29.1	0	30.4	1	0
22.3	0	21.8	4	1
26.2	0	61.1	2	1
25.7	0	38	12	0
29.8	0	31.2	1	0
21	0	22.1	1	0
29.4	0	35.7	4	0
22.1	0	33.7	9	1
25.9	0	19.1	1	0
23.3	0	18.6	2	0
21.9	0	35.2	2	1
23.1	0	25.4	2	0
25.8	0	34	6	0
23.3	0	28.6	4	0
26.1	0	27.7	1	1
23.4	0	26.4	6	0
28.6	0	31.5	4	0
29.4	0	32	2	0
23	0	28	4	0
25.2	0	43.8	12	1
29.7	0	44.6	2	1
29.1	0	45	4	0
27.9	0	33.3	4	0
22.6	0	25	2	0
20.4	0	24.9	4	0
26.1	0	32.3	4	0
23.6	0	21.8	6	0
25	0	39.9	9	1
26.8	0	97	12	1
26.7	0	68.1	9	1
24.6	0	22.1	2	0
24.5	0	59.7	12	1
27	0	33.7	1	0
21.8	0	23.9	12	0
24.3	0	37	9	0
24.2	0	38.1	9	1
23.6	0	29.2	4	1
25.6	0	53.9	6	1
23.9	0	39.1	12	0
20.5	0	47.2	9	1
20.6	0	21.8	1	0
29.4	0	45.1	9	1
22.4	0	27.4	4	0
24.3	0	27.1	2	1
23	0	57.3	12	1
26.1	0	33.9	1	0
21.2	0	21.9	9	0
22.5	0	36.9	12	0
25.9	0	26.6	6	0
20.6	0	35.4	12	1
24.5	0	45.9	6	1
28.2	0	34.6	4	0
20.4	0	28.9	2	0
24.2	0	40.7	12	1
21.8	0	26.5	4	1
27.9	0	29.4	1	0
21.1	0	25.5	4	0
27.3	0	68	9	1
20	0	18.7	4	0
26.5	0	31.9	12	0
24.8	0	36	2	1
23.4	0	27.5	9	1
21.4	0	31.2	9	1
22.2	0	23.3	1	0
29.1	0	34.8	4	0
24.7	0	42.4	4	1
21.9	0	21.9	6	0
26.6	0	25.5	4	0
20.1	0	24.4	4	0
26.7	0	39.8	9	0
25.5	0	22.4	1	0
25.4	0	26.9	1	0
21.5	0	20	2	0
29.6	0	31.4	1	0
20.5	0	35.3	12	0
20.3	0	25.5	4	0
25.6	0	32.4	4	1
23.6	0	26.6	2	0
