A	DA	B	DB	R
23.1	0	38.1	6	0
24.9	0	27.6	2	0
28.4	0	54	1	1
27.9	0	43.2	9	0
28.3	0	48.6	2	0
26.2	0	2190.8	12	1
22.6	0	23.9	1	0
20.8	0	14.3	1	0
20.9	0	23.6	2	0
26.1	0	55.5	2	0
21.4	0	26.2	4	0
21.4	0	24	2	0
25.9	0	29.2	2	0
22.7	0	19.2	9	0
26.1	0	37.2	6	0
20.6	0	39.5	12	0
26.5	0	62.4	4	1
27.5	0	28.3	4	0
29.1	0	65.2	6	1
25.1	0	30.3	2	0
20.4	0	34	9	0
26.2	0	27.4	1	0
26.1	0	31.6	4	0
28.3	0	43.9	9	0
21.5	0	29.5	2	0
22.5	0	37.6	12	0
20.2	0	22.9	2	0
22.8	0	20.3	4	0
27.4	0	51.4	12	1
24.3	0	46.2	2	1
20.2	0	18.5	4	0
27.7	0	49.6	12	1
27.5	0	34	4	0
20.8	0	28.6	6	0
24.4	0	35.5	1	1
22.3	0	28.4	4	0
21.4	0	43.9	6	0
21.9	0	55.4	4	1
20.6	0	100.8	12	1
24.4	0	28.2	2	0
24.8	0	28.8	2	0
23	0	20.4	2	0
26.2	0	35.3	4	0
29.7	0	112.5	12	1
24.4	0	29	6	0
27.4	0	27.2	2	0
26	0	31.2	2	0
24	0	28.1	4	0
24.3	0	76.1	12	1
