A	DA	B	DB	R
23.9	0	20.9	1	0
24.1	0	28.3	4	0
21.1	0	20.3	2	0
30	0	31.8	1	0
27.6	0	31.4	2	0
22.3	0	25.8	2	0
27.4	0	55.5	12	0
21.4	0	33.9	6	0
29.7	0	25.9	1	0
23.2	0	32.5	4	0
26.8	0	29.9	2	0
27.9	0	67.3	6	0
27.3	0	28.8	1	0
24.8	0	68	1	1
28.1	0	31.5	2	0
21.1	0	23.9	2	0
24.6	0	67.8	4	0
20.6	0	15.8	12	0
24.2	0	40.5	12	0
27.1	0	19.3	4	0
22.2	0	17.5	6	0
21.3	0	410.2	12	1
29.3	0	22.2	2	0
24.9	0	36.1	6	0
28.3	0	55.6	12	0
26.9	0	29.6	6	0
21.6	0	40.3	9	0
23.8	0	35.7	9	0
22.6	0	55.8	9	0
25.3	0	25.4	4	0
20.5	0	73.6	9	0
22.8	0	36.2	6	0
21.1	0	58.9	4	0
28.1	0	51.5	9	0
29.6	0	-4747.9	12	0
24.9	0	34	4	0
27.1	0	17.9	1	0
21.8	0	19.9	9	0
29.1	0	23.7	4	0
20.5	0	14.9	1	0
26.7	0	23.5	4	0
21.7	0	19.8	4	0
29.2	0	48.3	6	0
