A	DA	B	DB	R
28.1	0	38.8	9	0
29.2	0	32.5	2	0
28.5	0	46.6	4	1
27.1	0	41.3	4	0
20.8	0	17.4	4	0
24.6	0	33.8	6	0
24.8	0	40.5	9	0
27.4	0	28.2	4	0
24.7	0	36.1	2	0
26.7	0	43.7	9	0
22.9	0	39.1	9	0
28.8	0	34.1	9	0
20.1	0	18.9	2	0
25	0	30	2	0
28.8	0	34.8	2	0
24.5	0	48	9	1
20.9	0	45.2	12	1
23.5	0	38.3	2	1
24.2	0	50.8	12	1
27.5	0	29.9	1	0
24.2	0	87.9	12	1
29.1	0	39.5	4	0
23.7	0	32.6	4	0
22.4	0	73.3	12	1
25.8	0	41	6	0
23.6	0	28.5	2	0
26.3	0	29.1	1	0
24.5	0	42.2	4	0
27.7	0	39.6	9	0
22.4	0	29.6	6	0
23.6	0	25.7	2	0
25.1	0	30.5	4	0
29.7	0	37.3	4	0
29.7	0	42.6	6	0
20.7	0	30.9	6	0
22.8	0	31.2	4	0
29.4	0	77.7	12	0
26.7	0	41.1	6	0
25.6	0	28.2	1	0
27.2	0	95.5	12	1
21	0	43.3	6	0
20.7	0	24.4	2	0
24.2	0	28.3	9	0
26	0	28.7	1	0
25.7	0	23.2	1	0
26.3	0	32.1	2	0
24.2	0	43.7	12	0
