A	DA	B	DB	R
26.1	0	32.8	6	0
21.6	0	22.8	6	0
28.8	0	30.2	4	1
20.4	0	15.1	1	0
26.1	0	33.3	6	1
27.3	0	22.5	4	1
27.9	0	30.2	2	1
20.8	0	14.9	6	0
23.7	0	16.9	4	0
22.1	0	29.8	9	1
20.2	0	71.6	9	1
27.1	0	30.9	4	1
27.3	0	58.3	4	1
28.3	0	39	12	1
25.2	0	26	1	1
21.4	0	22.7	2	1
20.6	0	38.4	6	1
25.9	0	37.1	1	1
28.4	0	31.3	4	1
29.5	0	32.4	4	1
25.8	0	33.7	2	1
26.2	0	28.5	4	1
23	0	21.1	2	1
29.3	0	37.4	12	1
25.6	0	21.2	2	0
24.7	0	24.3	12	0
26.8	0	38.5	6	1
28.1	0	28.7	1	1
28.6	0	25.2	1	0
24.3	0	30.4	4	1
25.8	0	27.7	12	1
27.8	0	24.3	2	0
26.9	0	25.3	6	0
22.5	0	24.2	4	1
20.5	0	20.9	1	1
21.5	0	26.9	4	1
21.5	0	22.6	12	0
21.8	0	22.2	1	1
28.8	0	29.8	2	1
29.7	0	34	9	1
23.9	0	23	4	0
23.7	0	36.1	6	1
23.4	0	24.3	4	1
28.1	0	30.2	2	1
28	0	42.9	2	1
23	0	24.5	2	1
25.5	0	34	12	1
29.8	0	32.7	4	1
20.9	0	25	9	1
23	0	25.7	6	1
26.1	0	31.5	12	1
20.3	0	22.2	6	1
